Data,Giorno,Delta TI Italia,Delta RIC Italia,Delta TI Lombardia,Delta RIC Lombardia,Italia Terapie Intensive,Italia Ricoveri,Italia TI variazioni in 7 gg sul totale (%),Italia Ricoveri variazioni in 7 gg sul totale (%),Italia TI ingressi del giorno,Italia TI media ingressi in 7 gg,Lombardia Terapie Intensive,Lombardia Ricoveri,Lombardia TI variazioni in 7 gg sul totale (%),Lombardia Ricoveri variazioni in 7 gg sul totale (%),Lombardia TI ingressi del giorno,Lombardia TI media ingressi in 7 gg,Emilia-Romagna Terapie Intensive,Emilia-Romagna Ricoveri,Emilia-Romagna TI variazioni in 7 gg sul totale (%),Emilia-Romagna Ricoveri variazioni in 7 gg sul totale (%),Emilia-Romagna TI ingressi del giorno,Emilia-Romagna TI media ingressi in 7 gg,Veneto Terapie Intensive,Veneto Ricoveri,Veneto TI variazioni in 7 gg sul totale (%),Veneto Ricoveri variazioni in 7 gg sul totale (%),Veneto TI ingressi del giorno,Veneto TI media ingressi in 7 gg,Piemonte Terapie Intensive,Piemonte Ricoveri,Piemonte TI variazioni in 7 gg sul totale (%),Piemonte Ricoveri variazioni in 7 gg sul totale (%),Piemonte TI ingressi del giorno,Piemonte TI media ingressi in 7 gg,Friuli-VG Terapie Intensive,Friuli-VG Ricoveri,Friuli-VG TI variazioni in 7 gg sul totale (%),Friuli-VG Ricoveri variazioni in 7 gg sul totale (%),Friuli-VG TI ingressi del giorno,Friuli-VG TI media ingressi in 7 gg,V.d'Aosta Terapie Intensive,V.d'Aosta Ricoveri,V.d'Aosta TI variazioni in 7 gg sul totale (%),V.d'Aosta Ricoveri variazioni in 7 gg sul totale (%),V.d'Aosta TI ingressi del giorno,V.d'Aosta TI media ingressi in 7 gg,Liguria Terapie Intensive,Liguria Ricoveri,Liguria TI variazioni in 7 gg sul totale (%),Liguria Ricoveri variazioni in 7 gg sul totale (%),Liguria TI ingressi del giorno,Liguria TI media ingressi in 7 gg,Trento Terapie Intensive,Trento Ricoveri,Trento TI variazioni in 7 gg sul totale (%),Trento Ricoveri variazioni in 7 gg sul totale (%),Trento TI ingressi del giorno,Trento TI media ingressi in 7 gg,Bolzano Terapie Intensive,Bolzano Ricoveri,Bolzano TI variazioni in 7 gg sul totale (%),Bolzano Ricoveri variazioni in 7 gg sul totale (%),Bolzano TI ingressi del giorno,Bolzano TI media ingressi in 7 gg,Marche Terapie Intensive,Marche Ricoveri,Marche TI variazioni in 7 gg sul totale (%),Marche Ricoveri variazioni in 7 gg sul totale (%),Marche TI ingressi del giorno,Marche TI media ingressi in 7 gg,Toscana Terapie Intensive,Toscana Ricoveri,Toscana TI variazioni in 7 gg sul totale (%),Toscana Ricoveri variazioni in 7 gg sul totale (%),Toscana TI ingressi del giorno,Toscana TI media ingressi in 7 gg,Lazio Terapie Intensive,Lazio Ricoveri,Lazio TI variazioni in 7 gg sul totale (%),Lazio Ricoveri variazioni in 7 gg sul totale (%),Lazio TI ingressi del giorno,Lazio TI media ingressi in 7 gg,Umbria Terapie Intensive,Umbria Ricoveri,Umbria TI variazioni in 7 gg sul totale (%),Umbria Ricoveri variazioni in 7 gg sul totale (%),Umbria TI ingressi del giorno,Umbria TI media ingressi in 7 gg,Abruzzo Terapie Intensive,Abruzzo Ricoveri,Abruzzo TI variazioni in 7 gg sul totale (%),Abruzzo Ricoveri variazioni in 7 gg sul totale (%),Abruzzo TI ingressi del giorno,Abruzzo TI media ingressi in 7 gg,Molise Terapie Intensive,Molise Ricoveri,Molise TI variazioni in 7 gg sul totale (%),Molise Ricoveri variazioni in 7 gg sul totale (%),Molise TI ingressi del giorno,Molise TI media ingressi in 7 gg,Campania Terapie Intensive,Campania Ricoveri,Campania TI variazioni in 7 gg sul totale (%),Campania Ricoveri variazioni in 7 gg sul totale (%),Campania TI ingressi del giorno,Campania TI media ingressi in 7 gg,Puglia Terapie Intensive,Puglia Ricoveri,Puglia TI variazioni in 7 gg sul totale (%),Puglia Ricoveri variazioni in 7 gg sul totale (%),Puglia TI ingressi del giorno,Puglia TI media ingressi in 7 gg,Basilicata Terapie Intensive,Basilicata Ricoveri,Basilicata TI variazioni in 7 gg sul totale (%),Basilicata Ricoveri variazioni in 7 gg sul totale (%),Basilicata TI ingressi del giorno,Basilicata TI media ingressi in 7 gg,Calabria Terapie Intensive,Calabria Ricoveri,Calabria TI variazioni in 7 gg sul totale (%),Calabria Ricoveri variazioni in 7 gg sul totale (%),Calabria TI ingressi del giorno,Calabria TI media ingressi in 7 gg,Sicilia Terapie Intensive,Sicilia Ricoveri,Sicilia TI variazioni in 7 gg sul totale (%),Sicilia Ricoveri variazioni in 7 gg sul totale (%),Sicilia TI ingressi del giorno,Sicilia TI media ingressi in 7 gg,Sardegna Terapie Intensive,Sardegna Ricoveri,Sardegna TI variazioni in 7 gg sul totale (%),Sardegna Ricoveri variazioni in 7 gg sul totale (%),Sardegna TI ingressi del giorno,Sardegna TI media ingressi in 7 gg,SERIE
24/02/20,Lunedì,,,,,26,101,,,,,19,76,,,,,2,10,,,,,4,12,,,,,0,2,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,
25/02/20,Martedì,+9,+13,+6,+3,35,114,,,,,25,79,,,,,2,15,,,,,7,12,,,,,0,2,,,,,0,0,,,,,0,0,,,,,0,1,,,,,0,0,,,,,0,1,,,,,0,0,,,,,0,2,,,,,1,1,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,1,,,,,0,0,,,,,
26/02/20,Mercoledì,+1,+14,0,0,36,128,,,,,25,79,,,,,3,20,,,,,8,16,,,,,0,2,,,,,0,0,,,,,0,0,,,,,0,6,,,,,0,0,,,,,0,1,,,,,0,1,,,,,0,2,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,1,,,,,0,0,,,,,
27/02/20,Giovedì,+20,+120,+16,+93,56,248,,,,,41,172,,,,,6,36,,,,,8,19,,,,,0,2,,,,,0,0,,,,,0,0,,,,,0,9,,,,,0,0,,,,,0,1,,,,,1,2,,,,,0,2,,,,,0,0,,,,,0,0,,,,,0,1,,,,,0,0,,,,,0,2,,,,,0,1,,,,,0,0,,,,,0,0,,,,,0,1,,,,,0,0,,,,,
28/02/20,Venerdì,+8,+97,+6,+63,64,345,,,,,47,235,,,,,6,56,,,,,9,24,,,,,0,7,,,,,0,0,,,,,0,0,,,,,0,9,,,,,0,0,,,,,0,1,,,,,2,3,,,,,0,5,,,,,0,0,,,,,0,0,,,,,0,1,,,,,0,0,,,,,0,2,,,,,0,1,,,,,0,0,,,,,0,0,,,,,0,1,,,,,0,0,,,,,
29/02/20,Sabato,+41,+56,+33,+21,105,401,,,,,80,256,,,,,11,86,,,,,11,24,,,,,0,7,,,,,0,0,,,,,0,0,,,,,1,4,,,,,0,0,,,,,0,1,,,,,2,6,,,,,0,7,,,,,0,3,,,,,0,0,,,,,0,2,,,,,0,0,,,,,0,3,,,,,0,1,,,,,0,0,,,,,0,0,,,,,0,1,,,,,0,0,,,,,
01/03/20,Domenica,+35,+238,+26,+150,140,639,,,,,106,406,,,,,13,127,,,,,13,51,,,,,2,11,,,,,0,0,,,,,0,0,,,,,1,12,,,,,0,0,,,,,0,1,,,,,5,12,,,,,0,7,,,,,0,3,,,,,0,0,,,,,0,3,,,,,0,0,,,,,0,4,,,,,0,1,,,,,0,0,,,,,0,0,,,,,0,1,,,,,0,0,,,,,
02/03/20,Lunedì,+26,+103,+21,+72,166,742,,634.7,,,127,478,,528.9,,,16,148,,1380,,,14,53,,341.7,,,2,12,,500,,,0,0,,#DIV/0!,,,0,0,,#DIV/0!,,,1,12,,#DIV/0!,,,0,0,,#DIV/0!,,,0,1,,#DIV/0!,,,6,17,,#DIV/0!,,,0,7,,#DIV/0!,,,0,3,,200,,,0,0,,#DIV/0!,,,0,3,,#DIV/0!,,,0,0,,#DIV/0!,,,0,4,,#DIV/0!,,,0,2,,#DIV/0!,,,0,0,,#DIV/0!,,,0,0,,#DIV/0!,,,0,2,,#DIV/0!,,,0,0,,#DIV/0!,,,
03/03/20,Martedì,+63,+292,+40,+220,229,1034,,807,,,167,698,,783.5,,,24,187,,1146.7,,,19,49,,308.3,,,3,13,,550,,,0,1,,#DIV/0!,,,0,0,,#DIV/0!,,,2,12,,1100,,,0,1,,#DIV/0!,,,0,1,,0,,,13,27,,#DIV/0!,,,0,10,,400,,,0,10,,900,,,1,1,,#DIV/0!,,,0,5,,#DIV/0!,,,0,3,,#DIV/0!,,,0,11,,#DIV/0!,,,0,2,,#DIV/0!,,,0,0,,#DIV/0!,,,0,0,,#DIV/0!,,,0,2,,100,,,0,1,,#DIV/0!,,,
04/03/20,Mercoledì,+66,+312,+42,+179,295,1346,,951.6,,,209,877,,1010.1,,,26,256,,1180,,,23,76,,375,,,13,26,,1200,,,0,3,,#DIV/0!,,,0,0,,#DIV/0!,,,3,10,,66.7,,,0,1,,#DIV/0!,,,0,1,,0,,,15,34,,3300,,,2,15,,650,,,3,15,,#DIV/0!,,,1,1,,#DIV/0!,,,0,7,,#DIV/0!,,,0,3,,#DIV/0!,,,0,11,,#DIV/0!,,,0,4,,#DIV/0!,,,0,0,,#DIV/0!,,,0,0,,#DIV/0!,,,0,5,,400,,,0,1,,#DIV/0!,,,
