Data,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,oltre 90,SERIE
12/03/20,,,,,,,,,,,
16/03/20,90.47619048,57.26495726,92.59259259,109.1494845,100.8264463,93.77090301,86.53927813,81.37044968,82.85714286,97.14285714,
23/03/20,163.3333333,108.6956522,129.5940171,142.7603204,145.9876543,140.8414239,135.5565673,121.1727666,121.875,152.9644269,
26/03/20,34.17721519,32.8125,26.24476501,25.86294416,27.79868953,28.41530055,27.06803247,25.35587189,28.27464789,31.61458333,
30/03/20,37.73584906,49.60784314,38.70254331,30.20770317,30.90433075,29.49424486,24.17674348,23.33569908,29.32564736,41.03680253,
02/04/20,17.80821918,21.75622543,18.25671007,14.44943472,13.41666667,12.34714216,10.33194512,10.19104615,14.59600962,21.96969697,
06/04/20,19.9127907,31.00107643,26,20.94722598,18.62601029,16.30783985,13.03358313,12.64818006,19.73204914,30.54980446,
09/04/20,13.21212121,17.41988496,12.85892634,11.07630342,9.612883246,8.562829815,6.52654324,6.161049557,11.35976899,20.44052863,
16/04/20,19.37901499,25.82225332,21.49178255,17.2743755,15.61846641,13.14320434,10.5799373,12.11353712,23.4534173,43.42355523,
23/04/20,16.05381166,19.02113459,15.77783559,12.40230181,10.94276917,8.938041216,6.932921999,7.396587988,14.32429391,25.64521065,
28/04/20,13.29211747,17.00934579,15.7622739,13.49430733,12.66079295,10.66025819,8.495126706,9.237297356,15.53149606,23.19558334,
07/05/20,11.18690314,15.93450479,10.51048137,8.617787652,7.523265817,6.757245872,4.951669122,4.867197875,7.883228261,11.80967444,
14/05/20,8.466257669,8.405098174,6.191270747,5.132337445,4.036657211,3.768516587,2.67744034,2.361805863,3.47723085,5.192738418,
20/05/20,4.524886878,5.243088656,4.126695336,3.307587996,2.726510067,2.538390007,1.587248658,1.518619325,1.935844929,2.532638539,
26/05/20,3.787878788,3.925120773,2.652688428,2.317087091,1.878317681,1.549057575,1.358936484,0.965786187,1.127969655,1.650363408,
03/06/20,3.493222106,3.718768158,2.452611219,1.968987059,1.676686707,1.455431923,1.314809417,1.004828002,0.910571513,1.263372937,
09/06/20,1.964735516,2.268907563,1.329104365,1.137793337,0.877077722,0.682780606,0.616909062,0.591521525,0.445063947,0.414100658,
16/06/20,3.656126482,2.547247329,1.840810851,1.406241549,1.126705526,0.895536495,0.946692928,0.724659202,0.520998174,0.555144338,
23/06/20,2.764537655,2.697649573,1.361141603,1.130726972,0.83722428,0.524590164,0.613670695,0.54548135,0.348761171,0.368053,
30/06/20,1.530612245,1.508452536,1.082954299,0.701439797,0.360849433,0.267915385,0.265865941,0.085043988,0.111022615,-0.052386191,
07/07/20,2.558245774,2.485267743,1.499892865,1.099821934,0.750922744,0.439136597,0.383703519,0.325236602,0.265194436,0.151999581,
14/07/20,4.632516704,2.75,1.611427767,1.29506838,0.745325922,0.439529934,0.41331303,0.330023364,0.216403376,0.272137325,
21/07/20,3.363133248,2.627737226,1.572022161,1.365449524,0.721003135,0.433000138,0.321861847,0.244520129,0.199141054,0.099164927,
28/07/20,4.365733114,3.20056899,1.902229495,1.513546239,0.871459695,0.525157088,0.456564659,0.35717397,0.217901442,0.172063194,
04/08/20,4.459352802,3.767516655,2.696373612,1.545648825,0.937982104,0.590852059,0.414568235,0.326967593,0.186366569,0.182177806,
11/08/20,5.17567057,9.895948638,3.635415988,2.011550509,1.121843859,0.671293146,0.571882932,0.331670176,0.174095538,0.202628981,
18/08/20,5.639367816,12.30862208,5.318413277,2.139807129,1.148695626,0.862806938,0.638569604,0.393813959,0.24045329,0.197034118,
25/08/20,6.732403944,14.88789238,12.3977795,4.344966884,1.951525657,1.529939919,0.891346386,0.498210451,0.339627123,0.232871041,
01/09/20,9.493469258,17.01795472,14.4078598,6.261816872,2.957729964,2.389018435,1.563295499,0.888914214,0.525468661,0.469822913,
08/09/20,13.15100378,12.22148099,9.873276702,6.570641813,4.279247217,3.147559299,2.243977236,1.290559431,0.574523193,0.380267215,
15/09/20,14.50244279,10.81916538,8.166455429,6.256956591,4.275651177,3.441021475,2.641748861,1.566856251,0.80769771,0.558001433,
22/09/20,13.94565461,10.08475485,6.55001367,6.105499439,4.356933389,3.332594994,2.89126159,1.60856437,0.86625328,0.529450695,
29/09/20,15.07686244,10.82740474,6.865835777,5.838798392,4.518767563,3.858445709,3.249679128,1.909984871,1.015380365,0.739352813,
06/10/20,18.58194896,16.15371087,8.839570542,7.868612166,6.008593994,5.028519964,4.282049248,2.817909498,1.625145306,1.322073091,
13/10/20,28.00404391,29.00295253,14.87551213,13.33230389,10.7495471,8.896670001,7.253728315,4.777497035,3.166913381,2.297082755,
20/10/20,34.93173869,47.64084507,24.75994513,22.98280513,19.43075633,16.50042654,13.87391222,8.848642929,5.73285795,4.491003443,
27/10/20,43.10561084,58.44661738,38.36393623,35.5409807,32.14518062,28.43382995,23.60087218,16.54346106,11.45676982,8.897656069,
07/11/20,70.83089868,83.58837991,66.68520844,65.54739991,66.31643044,61.0705436,52.68481183,39.65239656,27.90414522,21.04679908,
11/11/20,17.34847448,16.23623295,16.36918383,17.36893559,17.7015416,17.56020857,16.32628359,14.08431141,11.03514921,8.894366197,
18/11/20,27.78652209,23.88084266,25.09094782,26.50097597,28.06475311,27.69204936,27.14846521,24.41224813,19.6118674,17.26702451,
25/11/20,18.46901302,15.97487142,16.93641884,18.68523618,19.19876797,18.99441341,19.49559201,18.45849725,16.26050694,14.3605581,
02/12/20,13.68169741,11.02919517,10.57313139,11.64316776,11.99295909,11.80453936,12.24816337,11.94484832,11.24188501,11.29864493,
09/12/20,9.897703408,7.874508995,7.363072683,7.964863847,8.095573604,7.890440467,8.340312713,8.169319666,8.073725754,8.091421144,
16/12/20,7.83812107,6.178608515,5.854986576,6.25217929,6.389806107,6.3005658,6.483899043,6.608813115,6.601142147,6.629922838,
22/12/20,6.496698774,5.137047999,5.047961203,5.218319689,5.237857999,5.026345743,5.396283565,5.259688732,4.673435325,4.272315471,
29/12/20,5.560923242,4.065995936,4.150242073,4.472547169,4.459613342,4.31041313,4.5525251,4.613242706,4.409767918,4.528084217,
05/01/21,6.212498729,5.324967068,5.343160022,5.700137727,5.345867655,5.189443159,5.626115297,5.460536639,4.767716378,4.181899703,
13/01/21,7.184833216,6.701730289,6.571553434,6.561297271,6.189612473,6.031003474,6.453278479,6.438085161,5.845507495,5.116448447,
20/01/21,5.73508721,4.927108516,4.373260367,4.335871928,4.252139209,4.200666912,4.41608431,4.53947709,4.243495832,4.010770975,
29/01/21,7.610096103,5.178484156,4.15281699,4.443932609,4.497500368,4.344334998,4.568224216,4.473102943,4.072484337,3.82128961,
05/02/21,5.842231295,3.998463771,2.928667762,3.289725445,3.263188311,3.003140715,3.252769278,3.004977483,2.679704867,2.075100255,
13/02/21,7.112722417,5.204272838,3.545563343,3.924671427,4.01097885,3.648766334,3.689974668,3.602575372,2.934237449,2.270064859,
20/02/21,5.341066482,4.304150741,2.988463984,3.2157294,3.182081898,2.882507994,2.891806217,2.741241221,2.027672006,1.401092377,
27/02/21,6.167310379,5.089618839,3.820536371,3.945358006,3.993579076,3.560787349,3.614139114,3.503856664,2.575978779,1.620057859,ultimi 2 mesi
06/03/21,7.542861566,6.458155423,4.955414162,5.099670253,5.07007186,4.672968875,4.71666978,4.351022591,3.192358386,2.108017244,ultimi 2 mesi
13/03/21,7.008780769,5.813102785,4.747125154,4.847400136,4.905514736,4.606010961,4.616610521,4.348139371,3.20918464,1.91048977,ultimi 2 mesi
20/03/21,6.711147581,5.660105853,4.680405449,4.846635644,4.932867587,4.795636314,4.757343913,4.621935781,3.25479844,2.113079729,ultimi 2 mesi
27/03/21,5.464653086,4.814134482,4.09084314,4.237500884,4.30720047,4.106410182,4.142487011,4.011469723,2.936646099,2.105075145,ultimi 2 mesi
03/04/21,5.416970465,4.901693583,4.357533429,4.289472146,4.369331191,4.353366105,4.454181689,4.300601428,3.153914945,2.322820872,ultimi 2 mesi
10/04/21,3.971313567,3.386594403,2.949784765,2.947177257,3.051070498,2.969322366,3.151420833,3.100822357,2.151483678,1.604571931,ultimi 2 mesi
17/04/21,4.126611958,3.34842105,2.785826632,2.828830595,2.645188824,2.608533118,2.778785197,2.723657595,1.733084049,1.277567454,ultimi 2 mesi
23/04/21,3.937935621,2.826849129,2.194787076,2.292472371,2.178265147,2.065608529,2.188943073,2.047941686,1.291814653,0.890017563,ultimi 2 mesi
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
