REGIONE,,24-nov,25-nov,26-nov,27-nov,28-nov,29-nov,30-nov,1-dic,2-dic,3-dic,4-dic,5-dic,6-dic,7-dic,8-dic,9-dic,10-dic,11-dic,12-dic,13-dic,14-dic,15-dic,16-dic,17-dic,18-dic,19-dic,20-dic,21-dic,22-dic,23-dic
Lombardia,Lombardia,0.5,0.54,0.57,0.66,0.69,0.66,0.74,0.85,0.9,0.98,1.03,1.06,1.13,1.07,1.08,1.11,1.17,1.19,1.21,1.29,1.4,1.44,1.44,1.49,1.53,1.61,1.78,1.75,1.67,1.92
Emilia Romagna,Emilia,1.19,1.24,1.21,1.55,1.55,1.6,1.62,1.44,1.33,1.35,1.24,1.3,1.35,1.35,1.51,1.55,1.71,1.6,1.69,1.69,1.98,2,2,2.02,2.2,2.25,2.56,2.47,2.65,2.72
Veneto,Veneto,0.7,0.78,0.89,0.74,0.82,0.89,0.93,1.13,1.09,1.17,1.22,1.15,1.07,1.05,0.89,0.91,1.03,1.03,1.07,1.24,1.44,1.71,2.02,1.92,2.29,2.37,2.27,2.41,2.43,2.39
Piemonte,Piemonte,0.44,0.49,0.4,0.4,0.42,0.44,0.44,0.4,0.37,0.42,0.47,0.44,0.47,0.47,0.37,0.35,0.35,0.35,0.35,0.37,0.37,0.47,0.66,0.66,0.75,0.82,0.73,0.87,0.96,1.05
Friuli VG,Friuli,3.09,2.92,2.75,2.92,3.17,3,3.34,3.5,3.75,4.42,4.34,4.17,4.17,4.34,4.42,4.25,3.84,4.17,4.34,4.5,4.17,4.67,4.75,4.84,4.59,4.59,4.5,4.75,4.59,4.59
Valle d'Aosta,Valle,0.81,1.61,1.61,1.61,1.61,0.81,0.81,0.81,0,0.81,0.81,0.81,1.61,1.61,2.42,2.42,1.61,2.42,2.42,1.61,1.61,2.42,4.04,4.04,3.23,3.23,3.23,3.23,1.61,0
Liguria,Liguria,0.6,0.79,0.86,0.79,0.93,0.93,0.93,0.99,0.79,0.79,0.79,0.66,0.66,0.86,0.99,1.06,0.99,1.26,1.59,1.59,1.52,1.32,1.52,1.79,1.79,1.72,1.99,2.12,2.58,2.65
PA Trento,Trento,0,0,0,0.37,0.37,0.37,0.55,1.1,1.47,1.47,1.1,1.1,1.29,1.29,0.73,0.55,0.92,1.29,1.47,1.47,1.29,1.29,1.29,1.1,1.1,0.92,0.73,0.92,1.1,2.02
PA Bolzano,Bolzano,2.44,2.62,2.06,2.44,2.25,2.06,2.06,1.5,1.87,2.06,1.69,1.87,2.81,3.37,3.56,2.81,3.19,3.75,3.75,3.56,3.56,3.37,3.75,3.37,2.81,2.81,1.87,1.87,2.06,2.44
Marche,Marche,1.2,1.07,1,1,1,0.87,1,0.67,0.8,0.8,0.73,0.67,0.73,0.73,0.73,0.67,0.87,0.87,0.87,0.8,0.73,0.87,1,1.13,1.33,1.4,1.47,1.53,1.6,1.73
Toscana,Toscana,0.76,0.65,0.65,0.9,0.85,0.65,0.63,0.71,0.82,0.82,0.6,0.65,0.85,0.82,0.76,0.71,0.79,0.79,0.85,0.76,0.79,0.85,0.93,0.87,0.93,0.9,0.95,0.98,0.93,0.87
Lazio,Lazio,0.75,0.75,0.82,0.87,0.86,0.68,0.79,0.82,0.79,0.77,0.79,0.75,0.84,0.87,0.79,0.89,1,1.05,1.07,1.03,1,1.14,1.17,1.12,1.05,1.22,1.33,1.38,1.33,1.38
Umbria,Umbria,0.81,0.69,0.69,0.81,0.58,0.81,0.92,1.04,1.16,1.27,1.27,1.27,1.04,0.81,0.46,0.23,0.12,0.12,0.23,0.23,0.35,0.35,0.35,0.46,0.35,0.23,0.23,0.23,0.23,0.23
Abruzzo,Abruzzo,0.7,0.78,0.93,0.7,0.62,0.86,0.93,1.17,0.93,0.86,0.93,1.01,0.78,0.86,0.78,0.93,0.78,0.86,0.78,0.78,0.62,0.39,0.47,0.54,0.47,0.62,0.86,1.01,1.24,1.01
Molise,Molise,0,0,0,0,0.34,0.34,0.34,0.34,0.34,0.34,0.67,0.34,0.34,0.67,0.67,0.67,1.01,0.67,0.67,0.67,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.67,0.67
Campania,Campania,0.69,0.74,0.77,0.83,0.81,0.88,0.72,0.7,0.65,0.63,0.58,0.55,0.53,0.6,0.55,0.65,0.81,0.81,0.83,0.77,0.74,0.83,0.77,0.76,0.81,0.81,0.95,1.11,1.13,1.14
Puglia,Puglia,0.33,0.2,0.2,0.25,0.25,0.2,0.13,0.15,0.2,0.28,0.28,0.28,0.43,0.53,0.46,0.41,0.51,0.48,0.51,0.48,0.53,0.66,0.69,0.53,0.61,0.59,0.56,0.51,0.38,0.38
Basilicata,Basilicata,0.18,0.18,0.18,0.18,0.18,0.37,0.37,0.37,0.37,0.37,0.37,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0.37,0.55
Calabria,Calabria,0.85,0.8,0.64,0.64,0.64,0.69,0.85,0.69,0.75,0.64,0.69,0.64,0.69,0.64,0.69,0.75,0.85,1.01,1.07,1.17,1.12,1.01,1.01,1.22,1.01,1.12,1.01,1.28,1.6,1.65
Sicilia,Sicilia,1.07,0.99,0.99,1.03,0.93,1.05,0.89,0.95,0.93,0.91,0.85,0.89,0.89,0.93,0.95,0.91,0.93,0.99,0.99,0.97,0.93,0.97,1.16,1.26,1.3,1.38,1.4,1.43,1.53,1.61
Sardegna,Sardegna,0.5,0.5,0.5,0.63,0.63,0.63,0.5,0.5,0.5,0.5,0.31,0.31,0.38,0.31,0.31,0.44,0.56,0.69,0.75,0.63,0.63,0.56,0.44,0.31,0.19,0.19,0.19,0.25,0.25,0.38
