REGIONE,,28-dic,29-dic,30-dic,31-dic,1-gen,2-gen,3-gen,4-gen,5-gen,6-gen,7-gen,8-gen,9-gen,10-gen,11-gen,12-gen,13-gen,14-gen,15-gen,16-gen,17-gen,18-gen,19-gen,20-gen,21-gen,22-gen,23-gen,24-gen,25-gen,26-gen
Lombardia,Lombardia,1.94,1.92,2.05,2.22,2.23,2.17,2.2,2.35,2.27,2.3,2.35,2.38,2.45,2.47,2.57,2.54,2.58,2.63,2.59,2.69,2.68,2.68,2.66,2.72,2.77,2.75,2.68,2.66,2.65,2.6
Emilia Romagna,Emilia,2.52,2.54,2.72,2.61,2.79,2.92,2.95,3.04,3.17,3.15,3.15,3.24,3.31,3.4,3.42,3.33,3.4,3.33,3.42,3.35,3.35,3.4,3.35,3.42,3.26,3.19,3.42,3.33,3.37,3.42
Veneto,Veneto,3.4,3.71,3.75,3.67,3.79,3.87,3.83,4,4.04,3.85,3.87,4.02,4.25,4.14,4.16,4.06,3.94,3.87,3.73,3.61,3.77,3.79,3.65,3.71,3.73,3.42,3.28,3.4,3.54,3.4
Piemonte,Piemonte,2.15,2.32,2.39,2.5,2.53,2.55,2.62,2.74,2.85,3.18,3.21,3.39,3.39,3.28,3.46,3.44,3.42,3.44,3.42,3.35,3.39,3.49,3.32,3.35,3.32,3.32,3.63,3.58,3.37,3.25
Friuli VG,Friuli,2.17,2.25,2.17,2.34,2.34,2.34,2.5,2.34,2.42,2.5,2.84,2.92,3.09,3.42,3.09,3.34,3.42,3.67,3.34,3.42,3.5,3.5,3.5,3.34,3.34,3,3.17,3.25,3.5,3.42
Valle d'Aosta,Valle,1.61,1.61,1.61,2.42,2.42,2.42,2.42,3.23,4.04,4.04,4.04,4.84,4.84,4.84,4.84,4.04,5.65,4.84,6.46,6.46,6.46,6.46,4.84,4.84,4.84,5.65,5.65,5.65,5.65,4.84
Liguria,Liguria,2.72,2.52,2.85,3.11,3.18,3.11,3.05,2.98,2.98,2.91,2.65,2.85,3.05,2.85,2.85,2.65,2.65,2.85,2.91,2.72,2.78,2.78,2.72,2.72,2.78,2.72,2.65,2.58,2.58,2.65
PA Trento,Trento,4.22,3.86,3.86,3.49,3.67,4.04,4.04,4.04,4.04,4.59,4.41,4.41,4.77,4.96,5.14,4.96,4.59,4.22,3.86,3.86,3.86,3.86,3.49,3.67,4.22,4.22,4.22,4.41,4.22,4.41
PA Bolzano,Bolzano,3.37,3.37,3.37,3.19,3.19,3.19,3.37,3.56,3.37,3.19,3.19,3.37,3.37,3.37,3.19,3.19,3,3.19,3.37,3.19,3,3.37,3.19,3,3.19,3.56,3.37,3.19,2.62,2.62
Marche,Marche,2.8,2.86,2.86,2.8,3.13,3.33,3.6,3.53,3.46,3.33,3.46,3.73,3.6,3.8,3.8,3.86,3.93,3.86,4.33,4.13,4.26,3.93,3.66,3.33,3.4,3.53,3.53,3.6,3.93,3.86
Toscana,Toscana,2.18,2.13,2.07,2.07,2.21,2.32,2.29,2.32,2.45,2.67,2.94,3.08,3.13,3.08,3.33,3.35,3.35,3.43,3.35,3.46,3.76,3.57,3.46,3.38,3.41,3.33,3.3,3.41,3.41,3.33
Lazio,Lazio,2.36,2.57,2.62,2.69,2.67,2.66,2.76,2.85,3.08,3.22,3.32,3.34,3.39,3.44,3.43,3.53,3.57,3.57,3.57,3.57,3.57,3.62,3.57,3.53,3.62,3.6,3.62,3.53,3.6,3.58
Umbria,Umbria,0.92,0.92,0.92,1.04,0.92,0.92,1.16,1.16,1.27,1.39,0.92,1.39,1.5,1.27,1.62,1.62,1.39,1.39,1.39,1.39,1.39,1.27,1.16,1.27,1.39,1.16,0.92,0.92,0.81,0.81
Abruzzo,Abruzzo,1.87,1.87,1.63,1.56,1.63,1.71,1.71,1.79,1.87,1.87,1.95,2.1,2.1,1.95,2.49,2.72,2.88,3.19,2.96,2.96,2.72,2.8,2.88,3.11,2.72,2.8,2.8,2.88,2.96,3.19
Molise,Molise,0.67,0.34,0.34,0.34,0.34,0.34,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.34,0.34,0.34,0.34,0.34,0.34,0.67,0.67,0.67,1.01
Campania,Campania,0.62,0.65,0.72,0.85,0.97,0.97,1.06,1,1.14,1.29,1.23,1.3,1.34,1.36,1.5,1.39,1.39,1.39,1.55,1.53,1.62,1.62,1.64,1.74,1.76,1.78,1.74,1.76,1.8,1.8
Puglia,Puglia,0.56,0.61,0.76,0.79,0.79,0.81,0.84,0.92,0.97,0.97,0.87,0.99,1.02,1.15,1.25,1.3,1.35,1.43,1.4,1.55,1.6,1.63,1.76,1.6,1.71,1.76,1.73,1.71,1.71,1.55
Basilicata,Basilicata,0.18,0.37,0.37,0.18,0.18,0.37,0.37,0.55,0.55,0.37,0.37,0.37,0.37,0.37,0.37,0.18,0.18,0.18,0.37,0.37,0.37,0.37,0.55,0.73,0.55,0.73,0.91,1.1,1.1,0.91
Calabria,Calabria,1.28,1.49,1.49,1.49,1.49,1.49,1.54,1.54,1.54,1.6,1.7,1.7,1.81,1.81,2.02,2.02,1.76,1.65,1.86,1.97,1.86,1.76,1.81,1.86,1.81,1.81,1.76,1.76,1.86,1.81
Sicilia,Sicilia,1.82,1.84,1.9,2.02,2.11,2.21,2.31,2.35,2.38,2.46,2.79,2.83,2.85,2.95,3.37,3.41,3.37,3.41,3.24,3.47,3.51,3.51,3.51,3.51,3.51,3.31,3.39,3.39,3.26,3.2
Sardegna,Sardegna,0.75,0.94,0.94,1,0.94,1.06,1.13,1.19,1.19,1.38,1.38,1.56,1.56,1.69,1.75,1.69,1.75,1.63,1.75,1.75,1.75,1.69,1.69,1.88,1.88,1.88,1.88,1.88,1.94,2
