REGIONE,,23-dic,24-dic,25-dic,26-dic,27-dic,28-dic,29-dic,30-dic,31-dic,1-gen,2-gen,3-gen,4-gen,5-gen,6-gen,7-gen,8-gen,9-gen,10-gen,11-gen,12-gen,13-gen,14-gen,15-gen,16-gen,17-gen,18-gen,19-gen,20-gen,21-gen
Lombardia,Lombardia,1030,958,816,774,772,777,782,785,793,802,821,819,808,800,732,795,934,961,977,991,1001,1073,1084,1092,1087,1071,1055,1037,1019,857
Emilia-Romagna,Emilia,854,805,698,673,684,694,704,706,713,724,767,770,772,773,716,774,888,889,902,919,936,1020,1037,1057,1078,1063,1041,1022,994,831
Veneto,Veneto,997,930,774,731,740,752,763,763,755,759,786,779,771,763,706,785,935,956,954,962,966,1041,1039,1051,1045,1019,978,940,893,738
Piemonte,Piemonte,765,709,602,563,563,573,581,587,589,594,625,648,668,700,694,781,922,967,988,1010,1021,1087,1106,1130,1138,1135,1128,1115,1100,928
Friuli VG,Friuli,912,822,669,564,576,588,595,599,607,607,713,703,702,710,638,711,848,793,792,788,811,913,933,962,1047,1069,1081,1040,1009,856
Valle d'Aosta,Valle,1088,981,799,624,599,617,614,592,593,593,771,769,772,794,791,890,1080,1079,1109,1089,1106,1131,1137,1113,1084,1026,1016,947,917,767
Liguria,Liguria,807,747,645,610,614,628,638,642,644,644,654,658,665,678,562,639,747,758,781,793,813,983,999,1004,1011,987,981,966,959,784
PA Trento,Trento,638,574,497,475,523,546,589,567,540,540,573,511,487,449,396,474,580,582,599,606,614,701,705,1035,1382,1369,1369,1339,1291,1193
PA Bolzano,Bolzano,649,545,397,356,339,332,310,324,322,322,323,331,336,330,273,409,582,702,702,726,734,794,820,889,888,918,906,893,873,699
Marche,Marche,924,811,658,612,621,625,628,632,641,643,648,637,643,669,566,692,851,894,914,922,935,1084,1066,1074,1065,1053,1029,1008,992,839
Toscana,Toscana,781,694,622,593,605,622,626,636,642,654,698,703,714,706,614,712,795,798,817,831,869,1008,1026,1042,1050,1056,1053,1043,1017,853
Lazio,Lazio,944,874,766,724,722,728,733,744,745,768,810,821,830,838,816,903,1009,1037,1050,1067,1084,1145,1147,1146,1133,1121,1102,1077,1038,870
Umbria,Umbria,907,820,714,647,653,671,685,698,701,696,750,763,765,762,640,741,882,898,916,941,961,1111,1134,1142,1148,1158,1159,1157,1139,949
Abruzzo,Abruzzo,789,654,557,519,523,542,596,639,658,657,733,754,769,773,692,856,998,960,984,1007,1029,1168,1155,1167,1189,1150,1117,1077,1035,843
Molise,Molise,766,690,565,514,512,527,465,500,543,544,569,586,596,685,662,731,868,897,883,873,864,877,843,854,841,828,814,792,788,664
Campania,Campania,751,645,525,481,527,584,640,689,709,721,779,794,814,843,826,970,1139,1159,1146,1142,1126,1177,1152,1139,1119,1100,1066,1043,1028,862
Puglia,Puglia,992,845,705,657,672,710,753,783,789,788,817,833,866,862,737,900,1023,1031,1028,1008,1013,1175,1177,1218,1221,1178,1127,1081,1027,825
Basilicata,Basilicata,748,696,559,497,529,564,576,636,666,666,749,781,820,882,773,882,1061,1122,1094,1077,1063,1204,1158,1191,1138,1121,1126,1091,1048,890
Calabria,Calabria,792,683,541,508,551,611,672,732,773,788,848,880,925,971,976,1131,1388,1408,1404,1383,1369,1394,1365,1299,1261,1226,1179,1115,1060,863
Sicilia,Sicilia,652,570,469,460,487,535,579,628,653,669,709,733,764,795,784,902,1033,1050,1068,1079,1098,1167,1174,1190,1190,1154,1113,1071,1027,846
Sardegna,Sardegna,862,768,639,564,563,580,592,638,649,650,674,678,672,650,532,630,750,799,802,819,839,956,986,1011,1027,1021,990,980,976,801
