Data,"Media 7 gg Area Alpina (Bergamo, Brescia e Sondrio)","Media 7 gg Area dei Laghi (Como, Lecco e Varese)",Media 7 gg Area Metropolitana (Milano e Monza Brianza),"Media 7 gg Area della Pianura (Cremona, Lodi, Mantova e Pavia)","Area Alpina (Bergamo, Brescia e Sondrio)","Area dei Laghi (Como, Lecco e Varese)",Area Metropolitana (Milano e Monza Brianza),"Area della Pianura (Cremona, Lodi, Mantova e Pavia)",SERIE
1-feb,,,,,61,61,143,65,
2-feb,,,,,77,56,126,65,
3-feb,,,,,98,56,136,59,
4-feb,,,,,67,51,146,71,
5-feb,,,,,76,59,122,63,
6-feb,,,,,70,56,111,49,
7-feb,76,57,129,61,81,58,118,55,
8-feb,77,56,126,58,69,54,120,43,
9-feb,74,56,125,57,59,55,124,57,
10-feb,70,56,125,58,67,59,135,71,
11-feb,73,56,120,55,88,52,108,49,
12-feb,71,54,120,57,61,46,123,72,
13-feb,71,52,120,58,75,42,110,57,
14-feb,71,51,120,56,79,47,119,45,
15-feb,71,50,120,58,71,49,120,56,
16-feb,71,49,118,57,56,49,110,51,
17-feb,74,49,117,57,86,61,126,71,
18-feb,73,49,118,57,85,51,115,49,
19-feb,74,51,118,54,65,60,123,52,
20-feb,74,53,121,55,74,51,131,58,
21-feb,72,55,123,64,66,62,138,109,
22-feb,73,59,126,73,77,81,140,118,
23-feb,80,67,140,87,109,103,204,152,
24-feb,87,72,154,99,130,98,230,157,
25-feb,99,79,162,115,173,97,167,161,
26-feb,109,83,169,128,137,87,170,140,
27-feb,113,88,175,141,102,89,173,147,
28-feb,127,92,177,145,160,86,152,140,
29-feb,136,90,178,149,139,70,152,147,
1-mar,140,88,176,149,137,91,185,150,
2-mar,152,84,169,153,213,69,185,185,
3-mar,164,80,173,158,257,69,191,198,
4-mar,176,80,176,168,225,83,192,206,
5-mar,202,78,183,171,284,77,226,174,
6-mar,231,80,189,177,362,99,191,179,
7-mar,263,83,195,184,360,90,194,195,
8-mar,305,81,207,183,433,79,268,145,
9-mar,340,90,220,190,462,130,275,231,
10-mar,360,102,231,196,393,154,271,239,
11-mar,405,110,248,197,538,139,314,217,
12-mar,445,118,264,208,568,135,334,247,
13-mar,493,124,293,222,694,143,394,278,
14-mar,519,127,312,229,544,111,327,244,
15-mar,532,139,331,243,525,164,404,242,
16-mar,563,150,349,246,676,207,400,254,
17-mar,594,152,371,248,611,164,425,257,
18-mar,610,162,381,256,654,209,383,272,
19-mar,610,165,383,261,565,160,346,280,
20-mar,602,168,388,257,638,160,434,249,
21-mar,603,178,402,256,552,180,421,239,
22-mar,607,175,403,253,555,146,411,223,
23-mar,590,173,413,253,558,193,471,253,
24-mar,582,176,422,254,549,185,489,262,
25-mar,557,169,442,244,483,160,525,201,
26-mar,543,169,452,232,465,158,415,200,
27-mar,510,167,446,223,408,149,390,184,
28-mar,482,161,436,213,356,134,353,168,
29-mar,449,153,422,205,324,91,308,169,
30-mar,418,146,404,193,342,144,350,165,
31-mar,377,139,380,178,258,134,319,158,
1-apr,349,133,355,173,288,121,349,164,
2-apr,315,133,347,168,227,156,363,166,
3-apr,289,131,341,165,226,134,346,162,
4-apr,264,127,331,156,186,112,279,105,
5-apr,240,130,322,147,156,111,251,108,
6-apr,222,128,321,140,214,126,342,118,
7-apr,211,123,319,136,181,100,303,128,
8-apr,195,122,312,131,174,112,301,133,
9-apr,190,112,299,126,190,86,269,128,
10-apr,177,111,293,120,136,130,307,122,
11-apr,165,108,282,121,102,91,200,111,
12-apr,159,107,278,120,113,101,222,98,
13-apr,146,104,262,116,125,105,232,95,
14-apr,143,104,258,117,158,106,273,130,
15-apr,134,102,250,112,115,97,246,100,
16-apr,125,101,246,108,124,77,242,100,
17-apr,121,93,235,101,110,77,227,73,
18-apr,121,90,236,95,101,69,207,72,
19-apr,119,86,227,93,100,70,165,78,
20-apr,119,82,225,93,125,80,215,98,
21-apr,112,81,215,87,109,95,206,89,
22-apr,110,77,207,85,103,74,187,82,
23-apr,106,77,201,82,92,72,200,80,
24-apr,102,76,195,85,86,74,184,93,
