,ISS (per data di notifica),ISS (per data di diagnosi/decesso),PC (bollettino giornaliero),Differenza ISS-PC,SERIE,
12/03/20,12928,23672,11255,1673,CASI date precedenti,
16/03/20,11560,37897,12867,366,CASI date precedenti,
23/03/20,32665,35837,35947,-2916,CASI date precedenti,
26/03/20,15650,35837,16612,-3878,CASI date precedenti,
30/03/20,20731,29951,21200,-4347,CASI date precedenti,
02/04/20,12096,29951,13503,-5754,CASI date precedenti,
06/04/20,18360,26364,17305,-4699,CASI date precedenti,
09/04/20,11682,26364,11079,-4096,CASI date precedenti,
16/04/20,22952,21465,25315,-6459,CASI date precedenti,
23/04/20,17975,15894,21032,-9516,CASI date precedenti,
28/04/20,22356,10901,11532,1308,CASI date precedenti,
07/05/20,14689,7687,14353,1644,CASI date precedenti,
14/05/20,8200,5055,7238,2606,CASI date precedenti,
20/05/20,5275,3718,4268,3613,CASI date precedenti,
26/05/20,3609,2718,3191,4031,CASI date precedenti,
03/06/20,3313,1778,3281,4063,CASI date precedenti,
09/06/20,1709,2138,1725,4047,CASI date precedenti,
16/06/20,2260,1671,1939,4368,CASI date precedenti,
23/06/20,1635,1299,1333,4670,CASI date precedenti,
30/06/20,752,1453,1745,3677,CASI date precedenti,
07/07/20,1371,1384,1378,3670,CASI date precedenti,
14/07/20,1507,1608,1388,3789,CASI date precedenti,
21/07/20,1389,1736,1408,3770,CASI date precedenti,
28/07/20,1724,2159,1736,3758,CASI date precedenti,
04/08/20,1915,2767,1931,3742,CASI date precedenti,
11/08/20,2630,3507,2818,3554,CASI date precedenti,
18/08/20,3309,7416,3399,3464,CASI date precedenti,
25/08/20,6025,8753,6538,2951,CASI date precedenti,
01/09/20,8734,9161,9015,2670,CASI date precedenti,
08/09/20,9550,9583,9960,2260,CASI date precedenti,
15/09/20,10131,10528,9841,2550,CASI date precedenti,
22/09/20,10281,12124,10907,1924,CASI date precedenti,
29/09/20,11670,19281,12113,1481,CASI date precedenti,
06/10/20,16702,40881,17252,931,CASI date precedenti,
13/10/20,31122,80997,35205,-3152,CASI date precedenti,
20/10/20,61260,149335,68982,-10874,CASI date precedenti,
27/10/20,118485,205002,130326,-22715,CASI date precedenti,
07/11/20,306248,241791,337713,-54180,CASI date precedenti,
11/11/20,135386,234117,125935,-44729,CASI date precedenti,
18/11/20,251387,202368,243929,-37271,CASI date precedenti,
25/11/20,223168,153906,208520,-22623,CASI date precedenti,
02/12/20,169730,124782,160732,-13625,CASI date precedenti,
09/12/20,130451,105184,136440,-19614,CASI date precedenti,
16/12/20,111929,104743,118495,-26180,CASI date precedenti,
22/12/20,96382,93207,89588,-19386,CASI date precedenti,
29/12/20,86912,118372,90373,-22847,CASI date precedenti,
05/01/21,109830,114536,114809,-27826,CASI date precedenti,
13/01/21,136681,90249,138076,-29221,CASI date precedenti,
20/01/21,101429,83553,95347,-23139,CASI date precedenti,
29/01/21,109303,80754,114907,-28743,CASI date precedenti,
05/02/21,81464,82656,82594,-29873,CASI date precedenti,
13/02/21,101376,81351,99139,-27636,CASI date precedenti,
20/02/21,83398,93719,85087,-29325,CASI date precedenti,
27/02/21,106388,124170,112016,-34953,CASI date precedenti,
06/03/21,141613,142893,138941,-32281,CASI date precedenti,
13/03/21,143084,154657,155076,-44273,CASI date precedenti,
20/03/21,151602,146425,154390,-47061,CASI date precedenti,
27/03/21,137733,141622,145501,-54829,CASI date precedenti,
03/04/21,149597,114395,137856,-43088,CASI date precedenti,
10/04/21,108528,108528,103829,-38389,CASI date precedenti,
17/04/21,102013,93988,103369,-39745,CASI date precedenti,
24/04/21,97141,88606,92079,-34683,CASI date precedenti,
01/05/21,89721,74411,86098,-31060,CASI date precedenti,
08/05/21,68803,59192,67304,-29561,CASI date precedenti,
15/05/21,56534,40890,50451,-23478,CASI date precedenti,
22/05/21,36380,28311,34391,-21489,CASI date precedenti,
29/05/21,27413,21073,24873,-18949,CASI date precedenti,
05/06/21,19865,15220,17089,-16173,CASI date precedenti,
12/06/21,14024,10653,13315,-15464,CASI date precedenti,
19/06/21,9298,6759,8611,-14777,CASI date precedenti,
26/06/21,6218,4999,5659,-14218,CASI date precedenti,
03/07/21,5052,5814,5222,-14388,CASI date precedenti,
10/07/21,7002,9431,7376,-14762,CASI date precedenti,
17/07/21,30092,20338,14426,904,CASI date precedenti,
24/07/21,26159,32767,28341,-1278,CASI date precedenti,
31/07/21,34743,38131,37355,-3890,CASI date precedenti,
07/08/21,40713,42532,40655,-3832,CASI date precedenti,
14/08/21,42558,41190,44323,-5597,CASI date precedenti,
21/08/21,44742,44919,43685,-4540,CASI date precedenti,
28/08/21,45556,44169,45597,-4581,CASI date precedenti,
04/09/21,43535,38059,42134,-3180,CASI date precedenti,
11/09/21,37457,31622,35624,-1347,CASI date precedenti,
18/09/21,31993,27786,30524,122,CASI date precedenti,
25/09/21,27889,22291,24942,3069,CASI date precedenti,
02/10/21,22359,20087,21555,3873,CASI ultimi due mesi,
09/10/21,19155,17451,18972,4056,CASI ultimi due mesi,
16/10/21,18167,17796,17424,4799,CASI ultimi due mesi,
23/10/21,22519,25336,22034,5284,CASI ultimi due mesi,
30/10/21,28545,29471,30036,3793,CASI ultimi due mesi,
06/11/21,33493,43141,34953,2333,CASI ultimi due mesi,
13/11/21,49422,53197,50217,1538,CASI ultimi due mesi,
20/11/21,60096,40898,63289,-1655,CASI ultimi due mesi,
26/11/21,66422,,66031,-1264,CASI ultimi due mesi,
,,,,,,
,,,,,,
12/03/20,784,2688,868,-84,DECESSI date precedenti,
16/03/20,906,5119,1142,-320,DECESSI date precedenti,
23/03/20,3302,5897,3919,-937,DECESSI date precedenti,
26/03/20,1804,5897,2088,-1221,DECESSI date precedenti,
30/03/20,3212,4629,3426,-1435,DECESSI date precedenti,
02/04/20,2520,4629,2324,-1239,DECESSI date precedenti,
06/04/20,2311,4068,2608,-1536,DECESSI date precedenti,
09/04/20,1798,4068,1756,-1494,DECESSI date precedenti,
16/04/20,3337,3347,3891,-2048,DECESSI date precedenti,
23/04/20,3190,2500,3379,-2237,DECESSI date precedenti,
28/04/20,2051,1847,1810,-1996,DECESSI date precedenti,
07/05/20,2737,1329,2599,-1858,DECESSI date precedenti,
14/05/20,1739,923,1410,-1529,DECESSI date precedenti,
20/05/20,1326,597,962,-1165,DECESSI date precedenti,
26/05/20,659,401,625,-1131,DECESSI date precedenti,
03/06/20,677,390,646,-1100,DECESSI date precedenti,
09/06/20,472,240,442,-1070,DECESSI date precedenti,
16/06/20,384,232,362,-1048,DECESSI date precedenti,
23/06/20,333,177,270,-985,DECESSI date precedenti,
30/06/20,194,95,92,-883,DECESSI date precedenti,
07/07/20,214,80,132,-801,DECESSI date precedenti,
14/07/20,116,70,85,-770,DECESSI date precedenti,
21/07/20,60,66,89,-799,DECESSI date precedenti,
28/07/20,85,40,50,-764,DECESSI date precedenti,
04/08/20,109,44,48,-703,DECESSI date precedenti,
11/08/20,1324,44,44,577,DECESSI date precedenti,
18/08/20,199,44,190,586,DECESSI date precedenti,
25/08/20,69,41,40,615,DECESSI date precedenti,
01/09/20,45,81,46,614,DECESSI date precedenti,
08/09/20,-389,72,72,153,DECESSI date precedenti,
15/09/20,72,129,70,155,DECESSI date precedenti,
22/09/20,86,154,105,136,DECESSI date precedenti,
29/09/20,173,178,137,172,DECESSI date precedenti,
06/10/20,151,326,155,168,DECESSI date precedenti,
13/10/20,182,617,216,134,DECESSI date precedenti,
20/10/20,408,1299,459,83,DECESSI date precedenti,
27/10/20,763,2389,995,-149,DECESSI date precedenti,
07/11/20,2805,3665,3363,-707,DECESSI date precedenti,
11/11/20,1522,4934,1890,-1075,DECESSI date precedenti,
18/11/20,3818,5381,4264,-1521,DECESSI date precedenti,
