Paese,dato,date,year_week,Ospedali/TI,source,url
Austria,Ospedali,4/1/2020,2020-W14,856,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/2/2020,2020-W14,823,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/3/2020,2020-W14,829,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/4/2020,2020-W14,826,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/5/2020,2020-W14,712,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/6/2020,2020-W15,824,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/7/2020,2020-W15,857,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/8/2020,2020-W15,829,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/9/2020,2020-W15,820,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/10/2020,2020-W15,771,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/11/2020,2020-W15,790,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/12/2020,2020-W15,792,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/13/2020,2020-W16,742,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/14/2020,2020-W16,759,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/15/2020,2020-W16,769,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/16/2020,2020-W16,729,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/17/2020,2020-W16,682,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/18/2020,2020-W16,647,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/19/2020,2020-W16,613,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/20/2020,2020-W17,611,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/21/2020,2020-W17,560,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/22/2020,2020-W17,524,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/23/2020,2020-W17,508,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/24/2020,2020-W17,495,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/25/2020,2020-W17,460,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/26/2020,2020-W17,449,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/27/2020,2020-W18,439,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/28/2020,2020-W18,425,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/29/2020,2020-W18,386,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,4/30/2020,2020-W18,372,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/1/2020,2020-W18,348,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/2/2020,2020-W18,314,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/3/2020,2020-W18,308,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/4/2020,2020-W19,309,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/5/2020,2020-W19,314,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/6/2020,2020-W19,321,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/7/2020,2020-W19,268,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/8/2020,2020-W19,258,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/9/2020,2020-W19,230,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/10/2020,2020-W19,219,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/11/2020,2020-W20,211,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/12/2020,2020-W20,205,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/13/2020,2020-W20,188,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/14/2020,2020-W20,180,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/15/2020,2020-W20,165,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/16/2020,2020-W20,158,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/17/2020,2020-W20,149,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/18/2020,2020-W21,151,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/19/2020,2020-W21,143,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/20/2020,2020-W21,137,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/21/2020,2020-W21,156,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/22/2020,2020-W21,128,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/23/2020,2020-W21,116,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/24/2020,2020-W21,108,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/25/2020,2020-W22,108,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/26/2020,2020-W22,95,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/27/2020,2020-W22,84,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/28/2020,2020-W22,77,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/29/2020,2020-W22,78,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/30/2020,2020-W22,75,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,5/31/2020,2020-W22,70,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/1/2020,2020-W23,68,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/2/2020,2020-W23,62,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/3/2020,2020-W23,66,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/4/2020,2020-W23,65,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/5/2020,2020-W23,55,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/6/2020,2020-W23,55,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/7/2020,2020-W23,52,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/8/2020,2020-W24,65,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/9/2020,2020-W24,65,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/10/2020,2020-W24,63,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/11/2020,2020-W24,67,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/12/2020,2020-W24,60,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/13/2020,2020-W24,62,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/14/2020,2020-W24,57,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/15/2020,2020-W25,64,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/16/2020,2020-W25,66,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/17/2020,2020-W25,60,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/18/2020,2020-W25,64,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/19/2020,2020-W25,68,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/20/2020,2020-W25,66,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/21/2020,2020-W25,61,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/22/2020,2020-W26,59,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/23/2020,2020-W26,57,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/24/2020,2020-W26,59,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/25/2020,2020-W26,60,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/26/2020,2020-W26,60,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/27/2020,2020-W26,61,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/28/2020,2020-W26,62,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/29/2020,2020-W27,66,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,6/30/2020,2020-W27,58,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
