Data,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,oltre 90,SERIE,,,
08/03/20,1,1.4,5.8,8.9,13,19.7,24.2,35.4,41.9,36.1,,,,
15/03/20,2.4,3.1,16,26,35.1,48.1,56.2,76.6,97.2,91.3,,,,
22/03/20,5.2,5.1,24.8,39.3,57.3,82.5,91.3,114.4,147.7,173,,,,
29/03/20,5.9,8.1,30.7,38.5,54.4,74.5,72.8,94.5,158.2,246.5,,,,
05/04/20,4.3,8.4,30.7,37.9,47,57.9,49.3,63.3,147,302.5,,,,
12/04/20,3.9,7.7,27.1,29.7,36.8,42.5,34.1,51.7,159.8,417.2,,,,
19/04/20,4,5.7,22.6,24.4,30.6,32.2,26.8,39,130.2,385.2,,,,
26/04/20,3.6,6.2,18.5,19,22.8,24.9,18.6,27.8,91.5,273.8,,,,
03/05/20,2.7,4.5,13.3,14.1,16.3,19.2,13.3,18,56.9,169.2,,,,
10/05/20,2.7,4.8,10.4,11.4,12.4,15,9.8,11.2,32.5,98,,,,
17/05/20,1.9,2.8,7.9,8.2,8.5,9.7,6.6,7.6,19.8,53.5,,,,
24/05/20,1.6,2.3,5.7,6.4,6.7,7.4,6,5.7,11,32.6,,,,
31/05/20,1.4,1.9,4.2,4.7,4.8,5.1,4.9,4.6,7.9,18.4,,,,
07/06/20,0.9,1.5,3,2.8,3.2,3.2,2.8,3.6,5.3,9.3,,,,
14/06/20,1.6,1.7,3.9,3.6,3.6,3.9,3.9,4.1,4.9,10.1,,,,
21/06/20,1.3,2,3.3,3.3,3.2,2.7,2.8,2.4,3.5,7.5,,,,
28/06/20,1.1,1.3,3,2.8,2.6,2.2,1.8,1.6,3.1,3.4,,,,
05/07/20,1.4,1.9,3.6,3.5,2.7,2,1.8,2,3.1,4.2,,,,
12/07/20,2,1.6,3.5,3.3,2.5,2,1.7,1.7,2.3,5.8,,,,
19/07/20,1.7,2.1,4.2,4.4,3.2,2.4,1.6,1.7,2.7,4.7,,,,
26/07/20,2.6,2.4,4.9,4.2,3.2,2.4,2.1,1.9,2.3,4,,,,
02/08/20,2.2,3.6,7.1,5.2,3.6,2.9,2.2,2,2.5,5,,,,
09/08/20,3.2,8.8,9.8,6.2,4.1,3.3,2.6,1.8,2.2,5.2,,,,
16/08/20,3.2,11.1,15.9,6.9,4.7,4.2,2.8,2.3,2.9,4,,,,
23/08/20,4.6,16.6,44.4,18.4,9.2,8.5,4.5,3.1,3.8,8.2,,,,
30/08/20,6.8,18.2,40.8,20.9,12.8,12.4,7.9,5.7,6.2,8.6,,,,
06/09/20,9.6,14.5,30.1,21.6,16.7,16.3,10.4,7.9,7.2,9.8,,,,
13/09/20,11.7,14.8,28.1,22,17.4,16.6,11.9,9.7,9.1,13.9,,,,
20/09/20,13.2,17,27.3,23.8,19.8,17.8,14.9,10.3,11.6,15.5,,,,
27/09/20,15.9,20.8,31.8,25.5,21.7,21.6,16.5,13.2,11.7,19.8,,,,
04/10/20,26.2,39.8,48.6,40.4,33.2,32.6,24.1,19.1,24.1,38.5,,,,
11/10/20,49.6,90.6,103.4,84.6,72.3,69.2,50.7,40.9,49.5,73.1,,,,
18/10/20,82.9,192.3,200.9,161.6,145.4,141.2,103,79.6,96,151.6,,,,
25/10/20,127.1,311.9,370,298.5,277.4,275.5,194.6,154.2,188.2,299.2,,,,
01/11/20,164.9,383.9,465.3,404.5,394.3,394.8,284.7,230.5,277,411.3,,,,
08/11/20,194,379.1,512.1,463.2,469.2,484.4,359,302.4,362,532.3,,,,
15/11/20,189,321.1,460.2,433.4,450.6,468.9,361.1,325.3,402.3,648.2,,,,
22/11/20,158,271.2,381.3,377,388,402.5,321.6,286.8,369.7,567.9,,,,
29/11/20,136.5,212.3,281.3,276.2,285.4,295.7,241.2,223.6,307.4,539.4,,,,
06/12/20,120.1,176.5,225.8,221.9,229.6,233.3,192.9,179.4,259.1,466.5,,,,
13/12/20,101.2,151.5,192.9,188.4,194.4,197.9,159.6,152.4,211.5,374.4,,,,
20/12/20,103.9,145.4,201.4,193.8,193.2,193.6,161.6,149,202.6,353.2,,,,
27/12/20,89.6,130,177.9,174.5,173.3,173.5,147.7,136.1,170.3,271.7,,,,
03/01/21,112.1,176.6,240.6,230.4,215,217.8,187.5,172.5,211.8,312.3,,,,
10/01/21,110,183.8,239.4,213,204.4,205.8,174.9,163.5,209.1,315.4,,,,
17/01/21,101.4,151.4,176,161,157.5,162.3,136.8,130.1,168.4,270.5,,,,
24/01/21,115.6,139.5,150.3,148.5,150.3,149.3,126.4,116.9,151.2,240,,,,
