Data,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,oltre 90,TOT CASI,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,oltre 90,TOT DECESSI,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,oltre 90,TOT,SERIE
15/09/20,564,910,1933,1574,1566,1652,916,562,345,109,10131,0,0,0,0,1,3,3,22,29,14,72,0.00000,0.00000,0.00000,0.00000,0.06386,0.18160,0.32751,3.91459,8.40580,12.84404,0.71069,
22/09/20,621,940,1677,1632,1664,1655,1029,586,373,104,10281,0,0,0,1,1,3,13,18,31,19,86,0.00000,0.00000,0.00000,0.06127,0.06010,0.18127,1.26336,3.07167,8.31099,18.26923,0.83649,
29/09/20,765,1111,1873,1656,1801,1980,1190,707,441,146,11670,0,0,0,1,4,7,11,33,69,48,173,0.00000,0.00000,0.00000,0.06039,0.22210,0.35354,0.92437,4.66761,15.64626,32.87671,1.48243,
06/10/20,1085,1837,2577,2362,2503,2680,1619,1063,713,263,16702,0,0,0,0,1,8,14,37,50,41,151,0.00000,0.00000,0.00000,0.00000,0.03995,0.29851,0.86473,3.48071,7.01262,15.58935,0.90408,
13/10/20,1939,3831,4720,4317,4747,4980,2860,1853,1412,463,31122,0,0,0,0,1,7,16,45,72,41,182,0.00000,0.00000,0.00000,0.00000,0.02107,0.14056,0.55944,2.42849,5.09915,8.85529,0.58480,
20/10/20,3096,8118,9025,8434,9503,10058,5867,3596,2637,926,61260,0,0,0,1,1,18,42,78,185,83,408,0.00000,0.00000,0.00000,0.01186,0.01052,0.17896,0.71587,2.16908,7.01555,8.96328,0.66601,
27/10/20,5155,14704,17446,16040,18776,20192,11365,7318,5572,1917,118485,0,0,-1,3,5,26,68,134,345,183,763,0.00000,0.00000,-0.00573,0.01870,0.02663,0.12876,0.59833,1.83110,6.19167,9.54617,0.64396,
07/11/20,12122,33320,41959,40096,51187,55700,31358,20442,15126,4938,306248,0,0,-1,7,24,74,242,657,1195,607,2805,0.00000,0.00000,-0.00238,0.01746,0.04689,0.13285,0.77173,3.21397,7.90030,12.29243,0.91592,
11/11/20,5072,11882,17168,17589,22724,25797,14837,10140,7651,2526,135386,0,1,0,4,13,53,150,380,620,301,1522,0.00000,0.00842,0.00000,0.02274,0.05721,0.20545,1.01099,3.74753,8.10352,11.91607,1.12419,
18/11/20,9533,20314,30623,31498,42405,47825,28700,20051,15098,5340,251387,2,1,2,5,47,147,356,929,1581,748,3818,0.02098,0.00492,0.00653,0.01587,0.11084,0.30737,1.24042,4.63319,10.47159,14.00749,1.51877,
25/11/20,8097,16834,25857,28094,37150,41888,26205,18862,14973,5208,223168,1,1,6,10,40,144,469,1128,1775,804,4378,0.01235,0.00594,0.02320,0.03559,0.10767,0.34377,1.78973,5.98028,11.85467,15.43779,1.96175,
02/12/20,7106,13479,18876,20777,27662,30977,19673,14459,12035,4686,169730,0,2,5,18,43,161,496,1382,2583,1199,5889,0.00000,0.01484,0.02649,0.08663,0.15545,0.51974,2.52122,9.55806,21.46240,25.58685,3.46963,
09/12/20,5844,10685,14535,15868,20912,23150,15037,11070,9615,3735,130451,0,1,5,10,24,126,343,855,1408,800,3572,0.00000,0.00936,0.03440,0.06302,0.11477,0.54428,2.28104,7.72358,14.64379,21.41901,2.73819,
16/12/20,5086,9044,12409,13448,17842,19944,12665,9687,8496,3308,111929,0,1,0,10,28,126,395,865,1699,969,4093,0.00000,0.01106,0.00000,0.07436,0.15693,0.63177,3.11883,8.92949,19.99765,29.29262,3.65678,
22/12/20,4546,7984,11325,11926,15560,16913,11224,8219,6412,2273,96382,0,2,4,8,35,127,358,936,1658,929,4057,0.00000,0.02505,0.03532,0.06708,0.22494,0.75090,3.18959,11.38825,25.85777,40.87110,4.20929,
29/12/20,4144,6644,9781,10755,13942,15233,9980,7588,6333,2512,86912,2,1,0,4,22,104,270,695,1367,795,3260,0.04826,0.01505,0.00000,0.03719,0.15780,0.68273,2.70541,9.15920,21.58535,31.64809,3.75092,
05/01/21,4887,9055,13115,14320,17458,19130,12895,9396,7149,2425,109830,1,1,2,3,24,114,351,946,1839,967,4248,0.02046,0.01104,0.01525,0.02095,0.13747,0.59592,2.72199,10.06811,25.72388,39.87629,3.86780,
13/01/21,6003,12003,16992,17423,21294,23386,15623,11683,9183,3091,136681,-2,-2,4,4,30,121,323,836,1486,746,3546,-0.03332,-0.01666,0.02354,0.02296,0.14088,0.51740,2.06746,7.15570,16.18208,24.13458,2.59436,
20/01/21,5136,9416,12051,12269,15534,17271,11381,8768,7056,2547,101429,0,1,3,8,32,87,315,828,1613,843,3730,0.00000,0.01062,0.02489,0.06520,0.20600,0.50373,2.76777,9.44343,22.85998,33.09776,3.67745,
29/01/21,7206,10384,11944,13120,17129,18612,12293,9032,7059,2524,109303,-3,-5,1,6,25,101,322,848,1635,866,3796,-0.04163,-0.04815,0.00837,0.04573,0.14595,0.54266,2.61938,9.38884,23.16192,34.31062,3.47291,
05/02/21,5953,8433,8773,10144,12987,13425,9153,6339,4834,1423,81464,0,0,0,4,16,78,241,623,1164,680,2806,0.00000,0.00000,0.00000,0.03943,0.12320,0.58101,2.63302,9.82805,24.07944,47.78637,3.44447,
13/02/21,7671,11415,10932,12500,16484,16801,10721,7828,5435,1589,101376,1,5,2,2,22,82,251,631,1165,585,2746,0.01304,0.04380,0.01829,0.01600,0.13346,0.48807,2.34120,8.06081,21.43514,36.81561,2.70873,
20/02/21,6170,9932,9541,10644,13602,13757,8712,6171,3866,1003,83398,0,0,2,3,22,69,230,476,874,447,2123,0.00000,0.00000,0.02096,0.02818,0.16174,0.50156,2.64004,7.71350,22.60735,44.56630,2.54562,
27/02/21,7505,12250,12562,13479,17614,17484,11203,8104,5011,1176,106388,0,1,0,1,25,71,184,484,770,336,1872,0.00000,0.00816,0.00000,0.00742,0.14193,0.40609,1.64242,5.97236,15.36619,28.57143,1.75960,
06/03/21,9745,16335,16916,18110,23255,23762,15149,10416,6370,1555,141613,0,0,2,3,19,71,211,587,946,443,2282,0.00000,0.00000,0.01182,0.01657,0.08170,0.29880,1.39283,5.63556,14.85086,28.48875,1.61143,
13/03/21,9738,15653,17008,18092,23641,24516,15527,10862,6608,1439,143084,0,3,1,5,29,88,217,606,1058,497,2504,0.00000,0.01917,0.00588,0.02764,0.12267,0.35895,1.39757,5.57908,16.01090,34.53787,1.75002,
20/03/21,9978,16127,17565,18966,24939,26701,16739,12048,6917,1622,151602,0,0,-1,5,19,108,260,663,921,443,2418,0.00000,0.00000,-0.00569,0.02636,0.07619,0.40448,1.55326,5.50299,13.31502,27.31196,1.59497,
27/03/21,8670,14493,16071,17386,22850,23960,15269,10940,6444,1650,137733,0,0,2,9,27,90,343,759,1256,508,2994,0.00000,0.00000,0.01244,0.05177,0.11816,0.37563,2.24638,6.93784,19.49100,30.78788,2.17377,
03/04/21,9064,15467,17819,18345,24178,26444,17098,12199,7124,1859,149597,0,0,2,3,33,107,321,731,985,400,2582,0.00000,0.00000,0.01122,0.01635,0.13649,0.40463,1.87741,5.99229,13.82650,21.51694,1.72597,
10/04/21,7005,11210,12588,13145,17621,18822,12636,9174,5013,1314,108528,0,-2,-2,2,31,140,436,884,1273,541,3303,0.00000,-0.01784,-0.01589,0.01521,0.17593,0.74381,3.45046,9.63593,25.39398,41.17199,3.04345,
17/04/21,7568,11459,12239,12989,15743,17026,11493,8308,4125,1063,102013,0,0,3,2,17,110,311,768,937,392,2540,0.00000,0.00000,0.02451,0.01540,0.10798,0.64607,2.70599,9.24410,22.71515,36.87676,2.48988,
24/04/21,8656,11428,11387,12388,15251,15772,10606,7247,3542,864,97141,0,1,2,3,34,149,400,928,1066,450,3033,0.00000,0.00875,0.01756,0.02422,0.22294,0.94471,3.77145,12.80530,30.09599,52.08333,3.12227,
01/05/21,9316,11248,10050,11993,14537,13830,9309,6054,2594,790,89721,4,1,1,4,14,94,313,586,631,307,1955,0.04294,0.00889,0.00995,0.03335,0.09631,0.67968,3.36234,9.67955,24.32537,38.86076,2.17898,
08/05/21,7385,8867,7742,9374,11389,10377,6926,4373,1847,523,68803,1,1,1,10,20,76,254,495,520,216,1594,0.01354,0.01128,0.01292,0.10668,0.17561,0.73239,3.66734,11.31946,28.15376,41.30019,2.31676,
15/05/21,6125,7654,6584,7631,9440,8451,5548,3286,1367,448,56534,0,1,5,3,19,80,194,454,426,172,1354,0.00000,0.01307,0.07594,0.03931,0.20127,0.94663,3.49676,13.81619,31.16313,38.39286,2.39502,ultimi 2 mesi
22/05/21,3723,5274,4340,4826,6090,5665,3418,2005,780,259,36380,-1,1,0,4,13,50,173,351,361,168,1120,-0.02686,0.01896,0.00000,0.08288,0.21346,0.88261,5.06144,17.50623,46.28205,64.86486,3.07861,ultimi 2 mesi
29/05/21,2546,4035,3543,3645,4791,4358,2379,1324,605,187,27413,0,1,0,5,9,46,153,275,205,86,780,0.00000,0.02478,0.00000,0.13717,0.18785,1.05553,6.43127,20.77039,33.88430,45.98930,2.84537,ultimi 2 mesi
05/06/21,1814,2951,2674,2827,3374,3037,1660,900,464,164,19865,1,-1,2,3,7,38,96,148,137,71,502,0.05513,-0.03389,0.07479,0.10612,0.20747,1.25123,5.78313,16.44444,29.52586,43.29268,2.52706,ultimi 2 mesi
