Data,,,Regione,Provincia,Abitanti,Incidenza,PLLANC,PLLAC,SOGLIA
13-feb,1,0,Lombardia,Bergamo,1114590,78,66,88,154
14-feb,2,0,Lombardia,Bergamo,1114590,88,66,88,154
15-feb,3,0,Lombardia,Bergamo,1114590,89,66,88,154
16-feb,4,0,Lombardia,Bergamo,1114590,91,65,87,152
17-feb,5,0,Lombardia,Bergamo,1114590,90,65,88,153
18-feb,6,0,Lombardia,Bergamo,1114590,93,65,87,152
19-feb,7,0,Lombardia,Bergamo,1114590,99,65,87,152
13-feb,1,1,Lombardia,Brescia,1265954,241,66,88,154
14-feb,2,1,Lombardia,Brescia,1265954,256,66,88,154
15-feb,3,1,Lombardia,Brescia,1265954,267,66,88,154
16-feb,4,1,Lombardia,Brescia,1265954,271,65,87,152
17-feb,5,1,Lombardia,Brescia,1265954,277,65,88,153
18-feb,6,1,Lombardia,Brescia,1265954,259,65,87,152
19-feb,7,1,Lombardia,Brescia,1265954,275,65,87,152
13-feb,1,2,Lombardia,Como,599204,144,66,88,154
14-feb,2,2,Lombardia,Como,599204,145,66,88,154
15-feb,3,2,Lombardia,Como,599204,144,66,88,154
16-feb,4,2,Lombardia,Como,599204,139,65,87,152
17-feb,5,2,Lombardia,Como,599204,138,65,88,153
18-feb,6,2,Lombardia,Como,599204,152,65,87,152
19-feb,7,2,Lombardia,Como,599204,166,65,87,152
13-feb,1,3,Lombardia,Cremona,358955,92,66,88,154
14-feb,2,3,Lombardia,Cremona,358955,92,66,88,154
15-feb,3,3,Lombardia,Cremona,358955,93,66,88,154
16-feb,4,3,Lombardia,Cremona,358955,101,65,87,152
17-feb,5,3,Lombardia,Cremona,358955,99,65,88,153
18-feb,6,3,Lombardia,Cremona,358955,109,65,87,152
19-feb,7,3,Lombardia,Cremona,358955,118,65,87,152
13-feb,1,4,Lombardia,Lecco,337380,135,66,88,154
14-feb,2,4,Lombardia,Lecco,337380,134,66,88,154
15-feb,3,4,Lombardia,Lecco,337380,129,66,88,154
16-feb,4,4,Lombardia,Lecco,337380,135,65,87,152
17-feb,5,4,Lombardia,Lecco,337380,130,65,88,153
18-feb,6,4,Lombardia,Lecco,337380,125,65,87,152
19-feb,7,4,Lombardia,Lecco,337380,135,65,87,152
13-feb,1,5,Lombardia,Lodi,230198,114,66,88,154
14-feb,2,5,Lombardia,Lodi,230198,108,66,88,154
15-feb,3,5,Lombardia,Lodi,230198,108,66,88,154
16-feb,4,5,Lombardia,Lodi,230198,107,65,87,152
17-feb,5,5,Lombardia,Lodi,230198,99,65,88,153
18-feb,6,5,Lombardia,Lodi,230198,100,65,87,152
19-feb,7,5,Lombardia,Lodi,230198,96,65,87,152
13-feb,1,6,Lombardia,Monza B.,873935,118,66,88,154
14-feb,2,6,Lombardia,Monza B.,873935,130,66,88,154
15-feb,3,6,Lombardia,Monza B.,873935,125,66,88,154
16-feb,4,6,Lombardia,Monza B.,873935,122,65,87,152
17-feb,5,6,Lombardia,Monza B.,873935,118,65,88,153
18-feb,6,6,Lombardia,Monza B.,873935,112,65,87,152
19-feb,7,6,Lombardia,Monza B.,873935,141,65,87,152
13-feb,1,7,Lombardia,Milano,3250315,102,66,88,154
14-feb,2,7,Lombardia,Milano,3250315,106,66,88,154
15-feb,3,7,Lombardia,Milano,3250315,105,66,88,154
16-feb,4,7,Lombardia,Milano,3250315,106,65,87,152
17-feb,5,7,Lombardia,Milano,3250315,108,65,88,153
18-feb,6,7,Lombardia,Milano,3250315,113,65,87,152
19-feb,7,7,Lombardia,Milano,3250315,118,65,87,152
13-feb,1,8,Lombardia,Mantova,412292,150,66,88,154
14-feb,2,8,Lombardia,Mantova,412292,142,66,88,154
15-feb,3,8,Lombardia,Mantova,412292,141,66,88,154
16-feb,4,8,Lombardia,Mantova,412292,148,65,87,152
17-feb,5,8,Lombardia,Mantova,412292,147,65,88,153
18-feb,6,8,Lombardia,Mantova,412292,147,65,87,152
19-feb,7,8,Lombardia,Mantova,412292,157,65,87,152
13-feb,1,9,Lombardia,Pavia,545888,130,66,88,154
14-feb,2,9,Lombardia,Pavia,545888,132,66,88,154
15-feb,3,9,Lombardia,Pavia,545888,131,66,88,154
16-feb,4,9,Lombardia,Pavia,545888,127,65,87,152
17-feb,5,9,Lombardia,Pavia,545888,130,65,88,153
18-feb,6,9,Lombardia,Pavia,545888,127,65,87,152
19-feb,7,9,Lombardia,Pavia,545888,128,65,87,152
13-feb,1,10,Lombardia,Sondrio,181095,94,66,88,154
14-feb,2,10,Lombardia,Sondrio,181095,104,66,88,154
15-feb,3,10,Lombardia,Sondrio,181095,104,66,88,154
16-feb,4,10,Lombardia,Sondrio,181095,106,65,87,152
17-feb,5,10,Lombardia,Sondrio,181095,104,65,88,153
18-feb,6,10,Lombardia,Sondrio,181095,87,65,87,152
19-feb,7,10,Lombardia,Sondrio,181095,95,65,87,152
13-feb,1,11,Lombardia,Varese,890768,125,66,88,154
14-feb,2,11,Lombardia,Varese,890768,122,66,88,154
15-feb,3,11,Lombardia,Varese,890768,121,66,88,154
16-feb,4,11,Lombardia,Varese,890768,113,65,87,152
17-feb,5,11,Lombardia,Varese,890768,98,65,88,153
18-feb,6,11,Lombardia,Varese,890768,114,65,87,152
19-feb,7,11,Lombardia,Varese,890768,150,65,87,152
13-feb,1,14,Emilia Romagna,Piacenza,287152,141,95,132,227
14-feb,2,14,Emilia Romagna,Piacenza,287152,135,94,132,226
15-feb,3,14,Emilia Romagna,Piacenza,287152,142,93,131,224
16-feb,4,14,Emilia Romagna,Piacenza,287152,136,93,131,224
17-feb,5,14,Emilia Romagna,Piacenza,287152,134,94,130,224
18-feb,6,14,Emilia Romagna,Piacenza,287152,138,95,129,224
19-feb,7,14,Emilia Romagna,Piacenza,287152,132,94,129,223
13-feb,1,15,Emilia Romagna,Parma,451631,126,95,132,227
