Data,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,oltre 90,TOT,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,oltre 90,SERIE
08/03/20,24,17,85,275,600,1248,1557,2127,1633,313,7879,0.304607184,0.215763422,1.078817109,3.490290646,7.615179591,15.83957355,19.76139104,26.99581165,20.72598045,3.972585353,
15/03/20,67,25,193,516,1171,2352,2873,3608,2732,442,13979,0.479290364,0.178839688,1.380642392,3.691251162,8.376850991,16.82523786,20.55225696,25.81014379,19.54360112,3.161885686,
22/03/20,56,30,207,594,1563,3276,4001,4699,3396,655,18477,0.303079504,0.16236402,1.120311739,3.214807599,8.459165449,17.730151,21.65394815,25.43161769,18.37960708,3.544947773,
29/03/20,47,37,157,418,1080,2389,2823,3403,3112,710,14176,0.331546275,0.261004515,1.107505643,2.948645598,7.618510158,16.85242664,19.91393905,24.00536117,21.95259594,5.008465011,
05/04/20,33,40,157,349,779,1353,1443,1784,2112,658,8708,0.378961874,0.459347726,1.802939825,4.007808911,8.945796968,15.53743684,16.57096922,20.48690859,24.25355994,7.556270096,
12/04/20,32,31,134,277,486,846,827,1178,1674,620,6105,0.524160524,0.507780508,2.194922195,4.537264537,7.960687961,13.85749386,13.54627355,19.2956593,27.42014742,10.15561016,
19/04/20,27,29,141,232,386,615,602,773,1286,597,4688,0.575938567,0.618600683,3.007679181,4.948805461,8.233788396,13.11860068,12.84129693,16.48890785,27.43174061,12.73464164,
26/04/20,35,32,118,163,292,391,428,633,1028,451,3571,0.980117614,0.896107533,3.304396528,4.564547746,8.176981238,10.94931392,11.98543825,17.72612714,28.78745449,12.62951554,
03/05/20,25,18,74,103,178,273,290,396,583,284,2224,1.124100719,0.809352518,3.327338129,4.631294964,8.003597122,12.27517986,13.03956835,17.8057554,26.21402878,12.76978417,
10/05/20,26,26,71,103,177,192,199,291,466,166,1717,1.514269074,1.514269074,4.135119394,5.998835178,10.30867793,11.1822947,11.58998253,16.9481654,27.14036109,9.668025626,
17/05/20,19,16,51,90,103,140,133,215,312,118,1197,1.587301587,1.336675021,4.260651629,7.518796992,8.604845447,11.69590643,11.11111111,17.96157059,26.06516291,9.857978279,
24/05/20,16,11,44,60,95,107,103,139,199,93,867,1.84544406,1.268742791,5.074971165,6.920415225,10.95732411,12.34140715,11.88004614,16.03229527,22.9527105,10.7266436,
31/05/20,14,20,38,52,52,65,86,109,162,55,653,2.143950995,3.062787136,5.819295559,7.963246554,7.963246554,9.954058193,13.16998469,16.69218989,24.8085758,8.422664625,
07/06/20,15,9,32,46,64,62,45,88,126,46,533,2.814258912,1.688555347,6.003752345,8.630393996,12.00750469,11.63227017,8.442776735,16.51031895,23.63977486,8.630393996,
14/06/20,16,10,31,54,37,47,59,76,104,39,473,3.382663848,2.114164905,6.553911205,11.41649049,7.822410148,9.936575053,12.47357294,16.06765328,21.98731501,8.245243129,
21/06/20,8,16,34,50,54,49,50,63,98,41,463,1.727861771,3.455723542,7.343412527,10.79913607,11.66306695,10.58315335,10.79913607,13.60691145,21.1663067,8.855291577,
28/06/20,16,13,42,64,52,52,40,66,81,26,452,3.539823009,2.876106195,9.292035398,14.15929204,11.50442478,11.50442478,8.849557522,14.60176991,17.92035398,5.752212389,
05/07/20,12,17,37,57,51,37,40,50,98,28,427,2.81030445,3.981264637,8.665105386,13.34894614,11.94379391,8.665105386,9.367681499,11.70960187,22.95081967,6.557377049,
12/07/20,23,9,43,45,41,60,37,61,68,22,409,5.623471883,2.200488998,10.51344743,11.00244499,10.02444988,14.66992665,9.046454768,14.91442543,16.62591687,5.378973105,
19/07/20,9,10,50,60,59,62,45,37,71,29,432,2.083333333,2.314814815,11.57407407,13.88888889,13.65740741,14.35185185,10.41666667,8.564814815,16.43518519,6.712962963,
26/07/20,12,8,44,48,57,61,57,66,67,22,442,2.714932127,1.809954751,9.954751131,10.85972851,12.8959276,13.80090498,12.8959276,14.9321267,15.15837104,4.977375566,
02/08/20,10,21,42,58,54,79,54,65,66,32,481,2.079002079,4.365904366,8.731808732,12.05821206,11.22661123,16.42411642,11.22661123,13.51351351,13.72141372,6.652806653,
09/08/20,15,32,43,51,55,71,52,55,78,29,481,3.118503119,6.652806653,8.93970894,10.6029106,11.43451143,14.76091476,10.81081081,11.43451143,16.21621622,6.029106029,
16/08/20,18,16,53,42,68,81,63,78,90,38,547,3.290676417,2.925045704,9.689213894,7.678244973,12.43144424,14.80804388,11.51736746,14.25959781,16.45338208,6.946983547,
23/08/20,23,38,115,91,90,112,80,90,92,33,764,3.010471204,4.97382199,15.05235602,11.91099476,11.78010471,14.65968586,10.47120419,11.78010471,12.04188482,4.319371728,
30/08/20,18,28,102,91,98,162,127,133,134,40,933,1.92926045,3.001071811,10.93247588,9.753483387,10.50375134,17.36334405,13.61200429,14.2550911,14.36227224,4.287245445,
06/09/20,19,33,91,107,137,214,178,186,152,45,1162,1.635111876,2.839931153,7.831325301,9.208261618,11.79001721,18.41652324,15.31841652,16.00688468,13.08089501,3.872633391,
13/09/20,30,28,104,122,167,211,192,204,215,72,1345,2.230483271,2.081784387,7.732342007,9.07063197,12.41635688,15.68773234,14.27509294,15.16728625,15.98513011,5.353159851,
20/09/20,37,22,101,165,169,287,231,237,238,72,1559,2.373316228,1.411161001,6.478511867,10.5837075,10.84028223,18.40923669,14.81719051,15.2020526,15.26619628,4.618345093,
27/09/20,37,25,115,155,213,310,262,281,228,85,1711,2.162478083,1.46113384,6.721215663,9.059029807,12.44886032,18.11805961,15.31268264,16.42314436,13.32554062,4.967855056,
04/10/20,33,29,143,191,235,371,372,396,408,145,2323,1.42057684,1.248385708,6.155832975,8.22212656,10.11622901,15.97072751,16.01377529,17.04692208,17.56349548,6.241928541,
11/10/20,52,72,249,292,423,600,631,668,730,236,3953,1.315456615,1.821401467,6.299013408,7.386794839,10.70073362,15.17834556,15.96256008,16.89855806,18.4669871,5.970149254,
18/10/20,109,117,311,432,682,1083,1194,1370,1316,395,7009,1.555143387,1.669282351,4.437152233,6.163504066,9.730346697,15.45156228,17.03524041,19.54629762,18.77585961,5.635611357,
25/10/20,144,156,385,662,1043,1741,1941,2283,2299,629,11283,1.276256315,1.382611008,3.412213064,5.867233892,9.243995391,15.43029336,17.20287158,20.23398032,20.37578658,5.574758486,
01/11/20,158,127,400,660,1174,2322,2714,3262,3174,820,14811,1.066774694,0.857470799,2.700695429,4.456147458,7.926541084,15.67753697,18.32421849,22.02417122,21.43001823,5.53642563,
08/11/20,147,131,409,650,1277,2505,3211,4174,3879,1012,17395,0.845070423,0.753089968,2.351250359,3.73670595,7.341189997,14.40068985,18.45932739,23.99540098,22.29951135,5.817763725,
15/11/20,154,103,338,550,1096,2388,3049,4140,4215,1057,17090,0.901111761,0.602691633,1.977764775,3.21825629,6.41310708,13.97308367,17.8408426,24.2246928,24.66354593,6.184903452,
22/11/20,113,82,239,452,865,1959,2553,3617,3801,1081,14762,0.765478932,0.555480287,1.619021813,3.06191573,5.859639615,13.27055954,17.29440455,24.50209999,25.74854356,7.322855982,
29/11/20,97,93,237,431,667,1506,1980,2768,3214,973,11966,0.810630119,0.777202073,1.980611733,3.601871971,5.574126692,12.58565937,16.54688283,23.13220792,26.85943507,8.131372221,
06/12/20,90,62,206,358,608,1197,1732,2394,2876,958,10481,0.858696689,0.591546608,1.965461311,3.415704608,5.80097319,11.42066597,16.52514073,22.84133193,27.44012976,9.140349203,
13/12/20,92,65,178,316,524,1051,1434,2141,2590,845,9236,0.996102209,0.703767865,1.92724123,3.421394543,5.673451711,11.37938502,15.52620182,23.18103075,28.04244262,9.148982243,
20/12/20,65,55,153,285,441,1002,1340,2078,2365,791,8575,0.758017493,0.641399417,1.78425656,3.32361516,5.142857143,11.6851312,15.62682216,24.23323615,27.58017493,9.224489796,
27/12/20,61,49,160,268,455,1026,1327,2019,2344,766,8475,0.719764012,0.578171091,1.887905605,3.162241888,5.368731563,12.10619469,15.65781711,23.82300885,27.65781711,9.038348083,
