Rtmax,Rtmin,Varmax,Varmin,Vmax,Vmin,%RtMax,%RtMin,%Vmax,%Vmin,NV%max,NV%min,Data,Casi per 100.000 ab. in 7 giorni,Variazioni % in 7 giorni,Rt,,Settimana,Rt puntuale,calcolato al,,Regione,ShowCasi,Casi,,,
1.72,0.82,105.8,-26.45,105.8,-24.9,80,20,80.94873757,19.05126243,80,20,18-set,17,-0.2,0.92,25,dal 27/8 al 9/9,,,26,Italia,-20.92604423,105.8,,0.54,0.57
,,,,,,,,,,,,19-set,17,3.4,,25,dal 27/8 al 9/9,,,26,Italia,-20.92604423,,,,
,,,,,,,,,,,,20-set,17,3.2,,25,dal 27/8 al 9/9,,,26,Italia,-20.92604423,,,,
,,,,,,,,,,,,21-set,18,7.7,,25,dal 27/8 al 9/9,,,26,Italia,-20.60110565,,,,
,,,,,,,,,,,,22-set,18,10.8,,25,dal 27/8 al 9/9,,,26,Italia,-20.60110565,,,,
,,,,,,,,,,,,23-set,18,12.6,,25,dal 27/8 al 9/9,,,26,Italia,-20.60110565,,,,
,,,,,,,,,,,,24-set,19,14.8,,25,dal 27/8 al 9/9,,,26,Italia,-20.27616708,,,,
,,,,,,,,,,,,25-set,19,11.5,0.95,25,dal 3/9 al 16/9,,,26,Italia,-20.27616708,,,,
,,,,,,,,,,,,26-set,19,12.3,,25,dal 3/9 al 16/9,,,26,Italia,-20.27616708,,,,
,,,,,,,,,,,,27-set,19,12.6,,25,dal 3/9 al 16/9,,,26,Italia,-20.27616708,,,,
,,,,,,,,,,,,28-set,20,10.4,,25,dal 3/9 al 16/9,,,26,Italia,-19.9512285,,,,
,,,,,,,,,,,,29-set,20,11.1,,25,dal 3/9 al 16/9,,,26,Italia,-19.9512285,,,,
,,,,,,,,,,,,30-set,20,11.1,,25,dal 3/9 al 16/9,,,26,Italia,-19.9512285,,,,
,,,,,,,,,,,,1-ott,22,15.8,,25,dal 3/9 al 16/9,,,26,Italia,-19.30135135,,,,
,,,,,,,,,,,,2-ott,23,20.9,1.01,25,dal 10/9 al 23/9,,,26,Italia,-18.97641278,,,,
,,,,,,,,,,,,3-ott,24,27,,25,dal 10/9 al 23/9,,,26,Italia,-18.6514742,,,,
,,,,,,,,,,,,4-ott,26,32,,25,dal 10/9 al 23/9,,,26,Italia,-18.00159705,,,,
,,,,,,,,,,,,5-ott,27,36.8,,25,dal 10/9 al 23/9,,,26,Italia,-17.67665848,,,,
,,,,,,,,,,,,6-ott,29,42.4,,25,dal 10/9 al 23/9,,,26,Italia,-17.02678133,,,,
,,,,,,,,,,,,7-ott,32,54.8,,25,dal 10/9 al 23/9,,,26,Italia,-16.0519656,,,,
,,,,,,,,,,,,8-ott,35,60.4,,25,dal 10/9 al 23/9,,,26,Italia,-15.07714988,,,,
,,,,,,,,,,,,9-ott,40,74.5,1.06,25,dal 17/9 al 30/9,,,26,Italia,-13.452457,,,,
,,,,,,,,,,,,10-ott,44,82.6,,25,dal 17/9 al 30/9,,,26,Italia,-12.1527027,,,,
,,,,,,,,,,,,11-ott,49,91.6,,25,dal 17/9 al 30/9,,,26,Italia,-10.52800983,,,,
,,,,,,,,,,,,12-ott,53,97.1,,25,dal 17/9 al 30/9,,,26,Italia,-9.228255528,,,,
,,,,,,,,,,,,13-ott,58,104.1,,25,dal 17/9 al 30/9,,,26,Italia,-7.603562654,,,,
,,,,,,,,,,,,14-ott,64,103.7,,25,dal 17/9 al 30/9,,,26,Italia,-5.653931204,,,,
,,,,,,,,,,,,15-ott,72,105.8,1.17,25,dal 24/9 al 7/10,,,26,Italia,-3.054422604,,,,
,,,,,,,,,,,,16-ott,79,100.5,,25,dal 24/9 al 7/10,,,26,Italia,-0.77985258,,,,
,,,,,,,,,,,,17-ott,88,98.3,,25,dal 24/9 al 7/10,,,26,Italia,2.144594595,,,,
,,,,,,,,,,,,18-ott,98,100.2,,25,dal 24/9 al 7/10,,,26,Italia,5.393980344,,,,
,,,,,,,,,,,,19-ott,106,100.1,,25,dal 24/9 al 7/10,,,26,Italia,7.993488943,,,,
,,,,,,,,,,,,20-ott,114,95.9,,25,dal 24/9 al 7/10,,,26,Italia,10.59299754,,,,
,,,,,,,,,,,,21-ott,127,97.8,,25,dal 24/9 al 7/10,,,26,Italia,14.81719902,,,,
,,,,,,,,,,,,22-ott,139,94.7,,25,dal 24/9 al 7/10,,,26,Italia,18.71646192,,,,
,,,,,,,,,,,,23-ott,154,94.9,1.5,25,dal 1/10 al 14/10,,,26,Italia,23.59054054,,,,
