Data,NUO TI,NUO RIC,NUO DEC,Terapie Intensive,Ricoveri,Decessi,Regione
4-ott,6,82,18,6,82,18,Italia
5-ott,20,200,16,13,141,17,Italia
6-ott,-4,138,28,7,140,21,Italia
7-ott,18,157,31,10,144,23,Italia
8-ott,21,143,22,12,144,23,Italia
9-ott,29,161,28,15,147,24,Italia
10-ott,3,250,29,13,162,25,Italia
11-ott,30,183,26,17,176,26,Italia
12-ott,32,302,39,18,191,29,Italia
13-ott,62,255,41,28,207,31,Italia
14-ott,25,394,43,29,241,33,Italia
15-ott,47,326,83,33,267,41,Italia
16-ott,52,382,55,36,299,45,Italia
17-ott,67,439,47,45,326,48,Italia
18-ott,45,514,69,47,373,54,Italia
19-ott,47,545,73,49,408,59,Italia
20-ott,73,778,89,51,483,66,Italia
21-ott,56,603,127,55,512,78,Italia
22-ott,66,637,136,58,557,85,Italia
23-ott,57,855,91,59,624,90,Italia
24-ott,79,738,151,60,667,105,Italia
25-ott,80,719,128,65,696,114,Italia
26-ott,76,991,141,70,760,123,Italia
27-ott,127,958,221,77,786,142,Italia
28-ott,125,1026,205,87,846,153,Italia
29-ott,115,983,217,94,896,165,Italia
30-ott,95,1030,199,100,921,180,Italia
31-ott,97,972,297,102,954,201,Italia
1-nov,96,936,208,104,985,213,Italia
2-nov,83,938,233,105,978,226,Italia
3-nov,203,1274,353,116,1023,245,Italia
4-nov,67,1002,335,108,1019,263,Italia
5-nov,99,1140,445,106,1042,296,Italia
6-nov,124,749,446,110,1002,331,Italia
7-nov,119,1104,425,113,1020,349,Italia
8-nov,115,1331,331,116,1077,367,Italia
9-nov,100,1196,356,118,1114,384,Italia
10-nov,122,997,580,107,1074,417,Italia
11-nov,110,811,623,113,1047,458,Italia
12-nov,89,429,636,111,945,485,Italia
13-nov,60,1041,550,102,987,500,Italia
14-nov,76,484,544,96,898,517,Italia
15-nov,116,649,546,96,801,548,Italia
16-nov,70,489,504,92,700,569,Italia
17-nov,120,538,731,92,634,591,Italia
18-nov,58,430,753,84,580,609,Italia
19-nov,42,106,653,77,534,612,Italia
20-nov,36,347,699,74,435,633,Italia
21-nov,10,106,692,65,381,654,Italia
22-nov,43,216,562,54,319,656,Italia
23-nov,9,418,630,45,309,674,Italia
24-nov,6,-120,853,29,215,692,Italia
25-nov,32,-264,722,25,116,687,Italia
26-nov,-2,-275,822,19,61,711,Italia
27-nov,-64,-354,826,5,-39,730,Italia
28-nov,-20,-385,687,1,-109,729,Italia
29-nov,-9,-449,541,-7,-204,726,Italia
30-nov,-9,337,672,-9,-216,732,Italia
1-dic,-81,-376,785,-22,-252,722,Italia
2-dic,-47,-357,684,-33,-266,717,Italia
3-dic,-19,-682,993,-36,-324,741,Italia
4-dic,-30,-572,814,-31,-355,739,Italia
5-dic,-50,-1042,662,-35,-449,736,Italia
6-dic,-63,233,564,-43,-351,739,Italia
7-dic,-72,133,528,-52,-380,719,Italia
8-dic,-37,-443,634,-45,-390,697,Italia
9-dic,-25,-428,499,-42,-400,671,Italia
10-dic,-29,-565,887,-44,-383,655,Italia
11-dic,-26,-526,761,-43,-377,648,Italia
12-dic,-66,-496,649,-45,-299,646,Italia
13-dic,-41,-331,484,-42,-379,635,Italia
14-dic,-63,30,491,-41,-394,629,Italia
15-dic,-92,-423,846,-49,-391,660,Italia
16-dic,-77,-445,680,-56,-394,685,Italia
17-dic,-71,-470,683,-62,-380,656,Italia
18-dic,-36,-658,674,-64,-399,644,Italia
19-dic,-35,-405,553,-59,-386,630,Italia
20-dic,-41,-206,351,-59,-368,611,Italia
21-dic,-12,-13,416,-52,-374,600,Italia
22-dic,-44,-197,628,-45,-342,569,Italia
23-dic,-63,-402,553,-43,-336,551,Italia
24-dic,-35,-476,505,-38,-337,526,Italia
25-dic,-5,-668,459,-34,-338,495,Italia
26-dic,-4,-90,268,-29,-293,454,Italia
27-dic,0,259,298,-23,-227,447,Italia
28-dic,-15,361,445,-24,-173,451,Italia
29-dic,-16,-270,659,-20,-184,455,Italia
30-dic,-21,-96,575,-14,-140,458,Italia
31-dic,27,-415,555,-5,-131,466,Italia
1-gen,-2,-329,462,-4,-83,466,Italia
2-gen,16,126,364,-2,-52,480,Italia
3-gen,14,127,347,0,-71,487,Italia
4-gen,-4,242,348,2,-88,473,Italia
5-gen,-10,78,649,3,-38,471,Italia
6-gen,2,-221,548,6,-56,468,Italia
7-gen,16,117,414,5,20,447,Italia
8-gen,0,22,620,5,70,470,Italia
9-gen,6,-53,483,3,45,487,Italia
10-gen,22,167,361,5,50,489,Italia
11-gen,27,176,448,9,41,503,Italia
12-gen,-6,109,616,10,45,499,Italia
13-gen,-57,-187,507,1,50,493,Italia
14-gen,-22,-415,522,-4,-26,508,Italia
15-gen,-35,-269,477,-9,-67,488,Italia
16-gen,-2,-57,475,-10,-68,487,Italia
17-gen,-17,-27,377,-16,-96,489,Italia
18-gen,41,127,377,-14,-103,479,Italia
19-gen,-57,-185,602,-21,-145,477,Italia
20-gen,-26,-230,525,-17,-151,479,Italia
21-gen,-43,-424,521,-20,-152,479,Italia
22-gen,-28,-354,472,-19,-164,478,Italia
23-gen,-4,-288,488,-19,-197,480,Italia
24-gen,14,-94,299,-15,-207,469,Italia
25-gen,21,115,420,-18,-209,475,Italia
26-gen,-49,-69,540,-16,-192,466,Italia
27-gen,-20,-194,468,-16,-187,458,Italia
28-gen,-64,-383,492,-19,-181,454,Italia
29-gen,-18,-381,477,-17,-185,455,Italia
30-gen,-52,-299,421,-24,-186,445,Italia
31-gen,-3,-2,237,-26,-173,436,Italia
1-feb,37,164,329,-24,-166,423,Italia
2-feb,-38,57,498,-23,-148,417,Italia
3-feb,-69,-246,476,-30,-156,419,Italia
4-feb,6,-328,422,-20,-148,409,Italia
5-feb,-9,-168,377,-18,-117,394,Italia
6-feb,-32,-167,385,-15,-99,389,Italia
7-feb,-3,-142,270,-15,-119,394,Italia
8-feb,36,261,307,-16,-105,391,Italia
9-feb,0,-15,422,-10,-115,380,Italia
10-feb,-15,-232,336,-2,-113,360,Italia
11-feb,-2,-338,391,-4,-114,355,Italia
12-feb,-31,-206,316,-7,-120,347,Italia
13-feb,-33,-236,311,-7,-130,336,Italia
14-feb,23,-51,221,-3,-117,329,Italia
15-feb,4,66,258,-8,-145,322,Italia
16-feb,-15,-52,336,-10,-150,310,Italia
17-feb,-31,-189,369,-12,-144,315,Italia
18-feb,2,-311,342,-12,-140,308,Italia
19-feb,14,-132,353,-5,-129,313,Italia
20-feb,4,-106,251,0,-111,304,Italia
21-feb,31,79,232,1,-92,306,Italia
22-feb,24,351,274,4,-51,308,Italia
23-feb,28,140,356,10,-24,311,Italia
24-feb,11,-78,318,16,-8,304,Italia
25-feb,11,40,308,18,42,299,Italia
26-feb,26,35,253,19,66,285,Italia
27-feb,22,80,280,22,92,289,Italia
28-feb,15,266,192,20,119,283,Italia
1-mar,58,474,246,24,137,279,Italia
2-mar,38,458,343,26,182,277,Italia
3-mar,84,193,347,36,221,281,Italia
4-mar,64,394,339,44,271,286,Italia
5-mar,50,217,297,47,297,292,Italia
6-mar,46,327,307,51,333,296,Italia
7-mar,34,443,207,53,358,298,Italia
8-mar,95,687,318,59,388,308,Italia
9-mar,56,562,376,61,403,313,Italia
10-mar,71,489,332,59,446,311,Italia
11-mar,32,365,373,55,441,316,Italia
12-mar,55,409,380,56,469,328,Italia
13-mar,68,497,317,59,493,329,Italia
14-mar,100,365,264,68,482,337,Italia
15-mar,75,820,354,65,501,342,Italia
16-mar,99,760,502,71,529,360,Italia
17-mar,61,419,431,70,519,374,Italia
18-mar,16,177,423,68,492,382,Italia
19-mar,31,164,386,64,457,382,Italia
20-mar,23,203,401,58,415,394,Italia
21-mar,61,423,300,52,424,400,Italia
22-mar,62,565,386,50,387,404,Italia
23-mar,36,379,551,41,333,411,Italia
24-mar,42,10,460,39,274,415,Italia
25-mar,32,-14,460,41,247,421,Italia
26-mar,8,48,457,38,231,431,Italia
27-mar,7,149,380,35,223,428,Italia
28-mar,44,80,297,33,174,427,Italia
29-mar,42,462,417,30,159,432,Italia
30-mar,-5,68,529,24,115,429,Italia
31-mar,-6,-51,467,17,106,430,Italia
1-apr,-29,-231,501,9,75,435,Italia
2-apr,23,-245,481,11,33,439,Italia
3-apr,10,-215,376,11,-19,438,Italia
,,,,,,,
4-ott,-3,3,2,-3,3,2,Lombardia
5-ott,2,9,2,-1,6,2,Lombardia
6-ott,-1,15,0,-1,9,1,Lombardia
7-ott,0,19,5,-1,12,2,Lombardia
8-ott,1,22,1,0,14,2,Lombardia
9-ott,3,10,1,0,13,2,Lombardia
10-ott,0,37,2,0,16,2,Lombardia
11-ott,4,25,3,1,20,2,Lombardia
12-ott,2,30,3,1,23,2,Lombardia
13-ott,12,83,6,3,32,3,Lombardia
14-ott,2,99,17,3,44,5,Lombardia
15-ott,8,81,26,4,52,8,Lombardia
16-ott,-1,108,7,4,66,9,Lombardia
17-ott,25,109,13,7,76,11,Lombardia
18-ott,14,122,21,9,90,13,Lombardia
19-ott,3,71,6,9,96,14,Lombardia
20-ott,10,132,19,9,103,16,Lombardia
21-ott,11,253,20,10,125,16,Lombardia
22-ott,22,164,29,12,137,16,Lombardia
23-ott,28,328,7,16,168,16,Lombardia
24-ott,29,140,51,17,173,22,Lombardia
25-ott,18,173,25,17,180,22,Lombardia
26-ott,11,133,17,18,189,24,Lombardia
27-ott,29,256,58,21,207,30,Lombardia
28-ott,21,357,47,23,222,33,Lombardia
29-ott,53,283,57,27,239,37,Lombardia
30-ott,25,343,48,27,241,43,Lombardia
31-ott,22,335,73,26,269,46,Lombardia
1-nov,26,213,54,27,274,51,Lombardia
2-nov,17,160,46,28,278,55,Lombardia
3-nov,40,334,117,29,289,63,Lombardia
4-nov,32,278,96,31,278,70,Lombardia
5-nov,15,300,139,25,280,82,Lombardia
6-nov,48,245,131,29,266,94,Lombardia
7-nov,40,250,108,31,254,99,Lombardia
8-nov,40,412,117,33,283,108,Lombardia
9-nov,20,189,99,34,287,115,Lombardia
10-nov,38,268,129,33,277,117,Lombardia
11-nov,56,225,152,37,270,125,Lombardia
12-nov,18,140,187,37,247,132,Lombardia
13-nov,19,272,118,33,251,130,Lombardia
14-nov,16,302,158,30,258,137,Lombardia
15-nov,20,160,181,27,222,146,Lombardia
16-nov,18,120,99,26,212,146,Lombardia
17-nov,39,250,202,27,210,157,Lombardia
18-nov,9,172,182,20,202,161,Lombardia
19-nov,12,-32,165,19,178,158,Lombardia
20-nov,15,13,175,18,141,166,Lombardia
21-nov,6,10,169,17,99,168,Lombardia
22-nov,13,77,165,16,87,165,Lombardia
23-nov,-4,-60,140,13,61,171,Lombardia
24-nov,-13,29,186,5,30,169,Lombardia
25-nov,10,-246,155,6,-30,165,Lombardia
26-nov,-8,-118,207,3,-42,171,Lombardia
27-nov,-9,-127,181,-1,-62,172,Lombardia
28-nov,-6,-253,119,-2,-100,165,Lombardia
29-nov,-12,-216,135,-6,-142,160,Lombardia
30-nov,-1,33,208,-6,-128,170,Lombardia
1-dic,-30,-91,249,-8,-145,179,Lombardia
2-dic,-21,-120,175,-12,-127,182,Lombardia
3-dic,-19,-197,347,-14,-139,202,Lombardia
4-dic,-14,-233,147,-15,-154,197,Lombardia
5-dic,-17,-238,111,-16,-152,196,Lombardia
6-dic,2,-182,140,-14,-147,197,Lombardia
7-dic,-26,-10,56,-18,-153,175,Lombardia
8-dic,-14,-175,128,-16,-165,158,Lombardia
9-dic,-1,-460,69,-13,-214,143,Lombardia
10-dic,-18,-114,172,-13,-202,118,Lombardia
11-dic,-15,-196,132,-13,-196,115,Lombardia
12-dic,-16,-128,85,-13,-181,112,Lombardia
13-dic,-3,-130,144,-13,-173,112,Lombardia
14-dic,-29,-106,67,-14,-187,114,Lombardia
15-dic,-29,-57,114,-16,-170,112,Lombardia
16-dic,-27,-50,106,-20,-112,117,Lombardia
17-dic,-18,-153,68,-20,-117,102,Lombardia
18-dic,-9,-137,60,-19,-109,92,Lombardia
19-dic,-10,-161,105,-18,-113,95,Lombardia
20-dic,-9,-154,49,-19,-117,81,Lombardia
21-dic,-22,-109,41,-18,-117,78,Lombardia
22-dic,-21,58,92,-17,-101,74,Lombardia
23-dic,-4,-47,98,-13,-100,73,Lombardia
24-dic,-15,-65,67,-13,-88,73,Lombardia
25-dic,1,-202,105,-11,-97,80,Lombardia
26-dic,-9,-137,36,-11,-94,70,Lombardia
27-dic,-5,-38,49,-11,-77,70,Lombardia
28-dic,4,-10,42,-7,-63,70,Lombardia
29-dic,-14,-157,49,-6,-94,64,Lombardia
30-dic,-17,-17,80,-8,-89,61,Lombardia
31-dic,8,-180,85,-5,-106,64,Lombardia
1-gen,-2,-85,80,-5,-89,60,Lombardia
2-gen,4,-59,78,-3,-78,66,Lombardia
3-gen,-2,-26,36,-3,-76,64,Lombardia
4-gen,-5,-40,27,-4,-81,62,Lombardia
5-gen,-9,117,62,-3,-41,64,Lombardia
6-gen,-4,80,92,-1,-28,66,Lombardia
7-gen,2,-61,34,-2,-11,58,Lombardia
8-gen,-7,73,133,-3,12,66,Lombardia
9-gen,-10,141,63,-5,41,64,Lombardia
10-gen,3,21,59,-4,47,67,Lombardia
11-gen,3,-76,62,-3,42,72,Lombardia
12-gen,4,119,54,-1,42,71,Lombardia
13-gen,-4,10,51,-1,32,65,Lombardia
14-gen,6,-37,72,-1,36,71,Lombardia
15-gen,-2,-13,68,0,24,61,Lombardia
16-gen,-12,63,78,0,12,63,Lombardia
17-gen,-2,-54,65,-1,2,64,Lombardia
18-gen,-3,-57,45,-2,4,62,Lombardia
19-gen,-24,66,57,-6,-3,62,Lombardia
20-gen,3,31,66,-5,0,64,Lombardia
21-gen,-17,-6,55,-8,4,62,Lombardia
22-gen,-3,-65,58,-8,-3,61,Lombardia
23-gen,-10,-80,104,-8,-24,64,Lombardia
24-gen,7,-71,44,-7,-26,61,Lombardia
25-gen,2,-16,46,-6,-20,61,Lombardia
26-gen,-15,118,77,-5,-13,64,Lombardia
27-gen,-15,43,62,-7,-11,64,Lombardia
28-gen,-6,-36,88,-6,-15,68,Lombardia
29-gen,8,-47,77,-4,-13,71,Lombardia
30-gen,-2,-36,58,-3,-6,65,Lombardia
31-gen,-15,49,24,-6,11,62,Lombardia
1-feb,9,-14,52,-5,11,63,Lombardia
2-feb,-10,55,63,-4,2,61,Lombardia
3-feb,-2,10,46,-3,-3,58,Lombardia
4-feb,3,-15,40,-1,0,51,Lombardia
5-feb,-3,10,46,-3,8,47,Lombardia
6-feb,-5,-9,50,-3,12,46,Lombardia
7-feb,4,-73,58,-1,-5,51,Lombardia
8-feb,4,24,51,-1,0,51,Lombardia
9-feb,1,62,55,0,1,49,Lombardia
10-feb,8,11,39,2,1,48,Lombardia
11-feb,-3,-14,54,1,2,50,Lombardia
12-feb,-9,33,47,0,5,51,Lombardia
13-feb,6,-9,61,2,5,52,Lombardia
14-feb,-1,-12,21,1,14,47,Lombardia
15-feb,2,10,35,1,12,45,Lombardia
16-feb,7,121,38,1,20,42,Lombardia
17-feb,-10,47,29,-1,25,41,Lombardia
18-feb,5,-24,55,0,24,41,Lombardia
19-feb,5,17,33,2,21,39,Lombardia
20-feb,9,-11,37,2,21,35,Lombardia
21-feb,4,19,50,3,26,40,Lombardia
22-feb,5,85,45,4,36,41,Lombardia
23-feb,17,91,43,5,32,42,Lombardia
24-feb,-2,29,38,6,29,43,Lombardia
25-feb,1,78,44,6,44,41,Lombardia
26-feb,9,10,47,6,43,43,Lombardia
27-feb,19,28,49,8,49,45,Lombardia
28-feb,-9,56,37,6,54,43,Lombardia
1-mar,15,106,42,7,57,43,Lombardia
2-mar,35,184,55,10,70,45,Lombardia
3-mar,30,137,60,14,86,48,Lombardia
4-mar,26,190,59,18,102,50,Lombardia
5-mar,11,69,61,18,110,52,Lombardia
6-mar,22,130,67,19,125,54,Lombardia
7-mar,8,124,33,21,134,54,Lombardia
8-mar,24,142,52,22,139,55,Lombardia
9-mar,14,216,63,19,144,56,Lombardia
10-mar,6,168,70,16,148,58,Lombardia
11-mar,28,134,81,16,140,61,Lombardia
12-mar,22,191,89,18,158,65,Lombardia
13-mar,27,159,66,18,162,65,Lombardia
14-mar,20,9,61,20,146,69,Lombardia
15-mar,14,121,79,19,143,73,Lombardia
16-mar,37,276,81,22,151,75,Lombardia
17-mar,16,167,79,23,151,77,Lombardia
18-mar,5,103,92,20,147,78,Lombardia
19-mar,2,52,80,17,127,77,Lombardia
20-mar,3,95,78,14,118,79,Lombardia
21-mar,15,35,90,13,121,83,Lombardia
22-mar,16,26,77,13,108,82,Lombardia
23-mar,14,213,99,10,99,85,Lombardia
