Data,0-5,6-12,13-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,TOT,0-5,6-12,13-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,SERIE
08/03/20,41,31,61,555,1132,2082,3267,3265,3508,2417,16359,0.250626566,0.189498136,0.372883428,3.392627911,6.91973837,12.7269393,19.97065835,19.95843267,21.44385354,14.77474173,
15/03/20,109,107,241,1340,2420,4433,6713,5634,5508,4045,30550,0.356792144,0.350245499,0.788870704,4.386252046,7.921440262,14.5106383,21.97381342,18.44189853,18.0294599,13.2405892,
22/03/20,131,135,269,1381,2116,3838,5849,4773,4843,4266,27601,0.474620485,0.489112713,0.974602369,5.003441904,7.666388899,13.90529329,21.19126119,17.29285171,17.54646571,15.45596174,
29/03/20,98,110,272,1117,1597,2810,3870,2766,2989,3612,19241,0.509329037,0.571695858,1.413647939,5.805311574,8.299984408,14.60423055,20.11329972,14.37555221,15.53453563,18.77241308,
05/04/20,87,124,226,1054,1334,2220,2771,1824,2057,3340,15037,0.578572854,0.824632573,1.502959367,7.00937687,8.871450422,14.76358316,18.4278779,12.13007914,13.67959034,22.21187737,
12/04/20,70,85,154,726,962,1525,1872,1186,1465,2638,10683,0.655246654,0.795656651,1.441542638,6.795843864,9.004961153,14.27501638,17.52316765,11.10175044,13.71337639,24.69343817,
19/04/20,57,77,131,623,766,1147,1350,950,1067,2050,8218,0.693599416,0.936967632,1.594061816,7.580919932,9.321002677,13.95716719,16.42735459,11.55999027,12.98369433,24.94524215,
26/04/20,54,76,129,484,523,863,982,624,802,1487,6024,0.896414343,1.261620186,2.141434263,8.034528552,8.681938911,14.32602922,16.30146082,10.35856574,13.31341301,24.68459495,
03/05/20,38,49,85,277,373,486,622,380,497,802,3609,1.052923247,1.357716819,2.355223053,7.675256304,10.33527293,13.46633416,17.23469105,10.52923247,13.77112774,22.22222222,
10/05/20,32,37,65,197,255,365,382,238,252,483,2306,1.387684302,1.604509974,2.818733738,8.542931483,11.05810928,15.82827407,16.56548135,10.32090199,10.92801388,20.94535993,
17/05/20,31,30,54,136,202,222,285,179,218,322,1679,1.846337105,1.786777844,3.216200119,8.100059559,12.03097082,13.22215605,16.97438952,10.6611078,12.983919,19.17808219,
24/05/20,17,16,35,95,125,154,163,149,149,225,1128,1.507092199,1.418439716,3.102836879,8.421985816,11.08156028,13.65248227,14.45035461,13.20921986,13.20921986,19.94680851,
31/05/20,15,11,30,87,113,130,125,97,84,141,833,1.800720288,1.320528211,3.601440576,10.44417767,13.56542617,15.6062425,15.0060024,11.64465786,10.08403361,16.92677071,
07/06/20,9,14,15,61,84,97,96,64,86,104,630,1.428571429,2.222222222,2.380952381,9.682539683,13.33333333,15.3968254,15.23809524,10.15873016,13.65079365,16.50793651,
14/06/20,11,13,13,63,104,100,93,76,61,78,612,1.797385621,2.124183007,2.124183007,10.29411765,16.99346405,16.33986928,15.19607843,12.41830065,9.967320261,12.74509804,
21/06/20,11,10,23,63,74,88,75,58,52,73,527,2.087286528,1.897533207,4.364326376,11.9544592,14.04174573,16.69829222,14.23149905,11.0056926,9.867172676,13.85199241,
28/06/20,15,15,17,61,81,78,88,49,40,59,503,2.982107356,2.982107356,3.37972167,12.12723658,16.10337972,15.50695825,17.49502982,9.741550696,7.952286282,11.72962227,
05/07/20,21,10,24,55,83,89,63,46,62,64,517,4.061895551,1.934235977,4.642166344,10.63829787,16.05415861,17.21470019,12.18568665,8.897485493,11.99226306,12.37911025,
12/07/20,23,18,28,79,96,98,101,60,51,58,612,3.758169935,2.941176471,4.575163399,12.90849673,15.68627451,16.0130719,16.50326797,9.803921569,8.333333333,9.477124183,
19/07/20,14,15,31,84,126,101,103,60,65,51,650,2.153846154,2.307692308,4.769230769,12.92307692,19.38461538,15.53846154,15.84615385,9.230769231,10,7.846153846,
26/07/20,21,33,41,124,115,154,139,81,69,46,823,2.55164034,4.009720535,4.981773998,15.06682868,13.97326853,18.71202916,16.88942892,9.842041312,8.383961118,5.589307412,
02/08/20,21,20,81,131,146,131,139,85,56,62,872,2.408256881,2.293577982,9.288990826,15.02293578,16.74311927,15.02293578,15.94036697,9.747706422,6.422018349,7.110091743,
09/08/20,48,37,236,275,194,189,188,117,79,56,1419,3.382663848,2.607470049,16.63143058,19.37984496,13.67159972,13.3192389,13.24876674,8.245243129,5.567300916,3.946441156,
16/08/20,28,31,266,588,294,239,264,126,101,84,2021,1.385452746,1.533894112,13.16180109,29.09450767,14.54725383,11.8258288,13.06284018,6.234537358,4.997525977,4.156358238,
23/08/20,57,56,338,1445,673,472,475,210,146,88,3960,1.439393939,1.414141414,8.535353535,36.48989899,16.99494949,11.91919192,11.99494949,5.303030303,3.686868687,2.222222222,
30/08/20,60,72,276,837,641,570,637,311,211,140,3755,1.597869507,1.917443409,7.350199734,22.29027963,17.07057257,15.17976032,16.96404794,8.28229028,5.619174434,3.728362184,
06/09/20,79,91,203,665,632,673,743,457,292,172,4007,1.971549788,2.271025705,5.066134265,16.59595708,15.7723983,16.79560769,18.54255054,11.40504118,7.287247317,4.292488146,
13/09/20,152,114,226,696,700,788,798,523,344,217,4558,3.334795963,2.501096972,4.95831505,15.2698552,15.35761299,17.28828434,17.50767881,11.47433085,7.547169811,4.760860026,
20/09/20,215,243,328,777,847,912,972,665,395,276,5630,3.818827709,4.31616341,5.825932504,13.80106572,15.04440497,16.19893428,17.26465364,11.81172291,7.01598579,4.902309059,
27/09/20,224,339,416,859,863,958,1073,687,449,258,6126,3.65654587,5.533790402,6.790728044,14.02220046,14.08749592,15.63826314,17.51550767,11.21449559,7.329415606,4.211557297,
04/10/20,339,655,1073,1673,1781,1971,2137,1320,857,603,12409,2.731888146,5.278426948,8.646949795,13.48215005,14.3524861,15.88363285,17.22137159,10.63744057,6.906277702,4.859376259,
11/10/20,460,1101,2129,3440,3223,4092,4430,2572,1803,1247,24497,1.877780953,4.494427889,8.690860105,14.04253582,13.15671307,16.70408621,18.083847,10.49924481,7.360084908,5.090419235,
18/10/20,702,1679,3963,6271,6040,7791,8568,4982,3328,2289,45613,1.539034924,3.680968145,8.688312542,13.74827352,13.24183895,17.08065683,18.78411856,10.92232478,7.296165567,5.018306185,
25/10/20,961,2390,5429,9768,9676,12782,14278,8304,5602,4115,73305,1.310961053,3.26035059,7.406043244,13.32514835,13.19964532,17.43673692,19.47752541,11.3280131,7.642043517,5.613532501,
01/11/20,1172,2697,5019,10863,11414,16095,18571,11216,8223,5645,90915,1.289116207,2.966507177,5.520541165,11.94852335,12.55458395,17.70334928,20.42677226,12.33679811,9.044712094,6.209096409,
08/11/20,1160,2792,4771,10953,12146,17222,19883,12443,9390,6746,97506,1.189670379,2.863413534,4.893032224,11.23315488,12.45666933,17.66250282,20.39156565,12.76126597,9.630176605,6.918548602,
15/11/20,1251,2672,4252,9764,11304,15778,18325,11918,9129,7083,91476,1.367571822,2.920984739,4.648213739,10.67383795,12.35733963,17.24823998,20.03257685,13.02855394,9.979666798,7.743014561,
22/11/20,927,2024,3196,7138,8630,11937,13805,8664,6962,5725,69008,1.343322513,2.932993276,4.63134709,10.34372826,12.50579643,17.29799444,20.00492696,12.55506608,10.08868537,8.296139578,
29/11/20,787,1629,2616,5721,6853,9459,10764,6975,5335,4711,54850,1.434822242,2.969917958,4.769371012,10.43026436,12.49407475,17.24521422,19.62443026,12.71649954,9.726526892,8.58887876,
06/12/20,760,1577,2434,5573,6623,9312,10418,6701,5373,4252,53023,1.433340249,2.974181016,4.590460743,10.51053316,12.49080588,17.56218999,19.64807725,12.63791185,10.13333836,8.019161496,
13/12/20,791,1476,2275,5346,6427,8621,9516,6207,4690,3753,49102,1.610932345,3.005987536,4.633212496,10.88754022,13.08907987,17.55732964,19.38006599,12.64103295,9.551545762,7.643273186,
20/12/20,807,1477,2303,5693,6418,8780,9790,6430,4901,3663,50262,1.605586726,2.938601727,4.58199037,11.32664836,12.76908997,17.46846524,19.47793562,12.79296486,9.750905256,7.287811866,
27/12/20,817,1500,2575,6362,7392,9764,10786,7227,5393,3610,55426,1.474037455,2.706311118,4.645834085,11.47836755,13.33670119,17.61628117,19.46018114,13.03900696,9.730090571,6.513188756,
03/01/21,875,1734,3411,7439,8277,10292,11613,7596,5867,4287,61391,1.425290352,2.824518252,5.556189018,12.11741135,13.48243228,16.76467235,18.91645355,12.37314916,9.556775423,6.983108273,
10/01/21,785,1599,3212,6422,6758,8797,9775,6564,5132,4017,53061,1.479429336,3.013512749,6.053410226,12.10305121,12.73628465,16.57903168,18.42219332,12.37066772,9.671887073,7.570532029,
17/01/21,832,1472,2368,4488,4919,6490,7631,5052,3943,3176,40371,2.060885289,3.646181665,5.865596592,11.11689084,12.18448887,16.07589606,18.90218226,12.51393327,9.766911892,7.867033266,
