Data,Regione,Ricoverati in area non critica,Totale dei posti letto in area non critica,Ricoverati in Terapia Intensiva,Totale dei posti letto in Terapia Intensiva,TI attivabili,Occupazione COVID in area non critica (%),Occupazione COVID in Terapia Intensiva (%),Abitanti,Totale posti in area non critica/100K ab,Totale posti in TI/100K ab,Aggiornamento AGENAS,Aggiornamento,Popup,,,,,
08/08/21,Italia,2631,55745,299,8641,1117,4.72,3.46,59257566,94.1,14.6,07/10/2021 ore 17:59,07/10/21,Italia,,,,,
09/08/21,Italia,2786,55686,323,8641,1116,5,3.74,59257566,94,14.6,07/10/2021 ore 17:59,07/10/21,Italia,,,,,
10/08/21,Italia,2786,55686,323,8641,1116,5,3.74,59257566,94,14.6,07/10/2021 ore 17:59,07/10/21,Italia,,,,,
11/08/21,Italia,2948,55721,337,8652,1093,5.29,3.9,59257566,94,14.6,07/10/2021 ore 17:59,07/10/21,Italia,,,,,
12/08/21,Italia,2975,56062,352,8641,1093,5.31,4.07,59257566,94.6,14.6,07/10/2021 ore 17:59,07/10/21,Italia,,,,,
13/08/21,Italia,3033,56189,369,8695,1093,5.4,4.24,59257566,94.8,14.7,07/10/2021 ore 17:59,07/10/21,Italia,,,,,
14/08/21,Italia,3101,56128,372,8694,1093,5.52,4.28,59257566,94.7,14.7,07/10/2021 ore 17:59,07/10/21,Italia,,,,,
15/08/21,Italia,3162,56197,384,8694,1092,5.63,4.42,59257566,94.8,14.7,07/10/2021 ore 17:59,07/10/21,Italia,,,,,
16/08/21,Italia,3334,56208,404,8698,1092,5.93,4.64,59257566,94.9,14.7,07/10/2021 ore 17:59,07/10/21,Italia,,,,,
17/08/21,Italia,3472,56277,423,8706,1098,6.17,4.86,59257566,95,14.7,07/10/2021 ore 17:59,07/10/21,Italia,,,,,
18/08/21,Italia,3472,56277,423,8706,1098,6.17,4.86,59257566,95,14.7,07/10/2021 ore 17:59,07/10/21,Italia,,,,,
