Data,0-5,6-12,13-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,TOT,0-5,6-12,13-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,SERIE
08/03/20,0,0,3,2,12,56,160,253,233,50,769,0,0,0.390117035,0.260078023,1.56046814,7.282184655,20.80624187,32.89986996,30.29908973,6.501950585,
15/03/20,0,1,1,13,40,105,279,466,410,78,1393,0,0.071787509,0.071787509,0.933237617,2.871500359,7.537688442,20.028715,33.45297918,29.43287868,5.5994257,
22/03/20,0,0,2,11,48,156,477,711,438,92,1935,0,0,0.103359173,0.568475452,2.480620155,8.062015504,24.65116279,36.74418605,22.63565891,4.754521964,
29/03/20,2,0,1,8,37,137,462,676,416,126,1865,0.107238606,0,0.053619303,0.428954424,1.983914209,7.345844504,24.77211796,36.24664879,22.30563003,6.756032172,
05/04/20,1,0,3,9,15,73,226,400,337,95,1159,0.086281277,0,0.258843831,0.776531493,1.294219154,6.298533218,19.49956859,34.51251079,29.07679034,8.196721311,
12/04/20,2,1,1,5,9,55,119,199,274,136,801,0.24968789,0.124843945,0.124843945,0.624219725,1.123595506,6.866416979,14.85642946,24.84394507,34.20724095,16.97877653,
19/04/20,0,0,0,6,10,19,65,142,167,114,523,0,0,0,1.147227533,1.912045889,3.632887189,12.42829828,27.15105163,31.93116635,21.79732314,
26/04/20,0,0,0,3,6,38,69,93,152,167,528,0,0,0,0.568181818,1.136363636,7.196969697,13.06818182,17.61363636,28.78787879,31.62878788,
03/05/20,1,0,0,2,1,23,42,83,93,100,345,0.289855072,0,0,0.579710145,0.289855072,6.666666667,12.17391304,24.05797101,26.95652174,28.98550725,
10/05/20,1,0,1,0,4,14,29,40,81,79,249,0.401606426,0,0.401606426,0,1.606425703,5.62248996,11.64658635,16.06425703,32.53012048,31.72690763,
17/05/20,2,0,0,2,6,7,21,22,55,57,172,1.162790698,0,0,1.162790698,3.488372093,4.069767442,12.20930233,12.79069767,31.97674419,33.13953488,
24/05/20,0,1,2,2,4,5,13,18,31,25,101,0,0.99009901,1.98019802,1.98019802,3.96039604,4.95049505,12.87128713,17.82178218,30.69306931,24.75247525,
31/05/20,1,1,0,2,2,4,9,18,14,27,78,1.282051282,1.282051282,0,2.564102564,2.564102564,5.128205128,11.53846154,23.07692308,17.94871795,34.61538462,
07/06/20,0,0,0,1,0,1,6,13,18,18,57,0,0,0,1.754385965,0,1.754385965,10.52631579,22.80701754,31.57894737,31.57894737,
14/06/20,0,0,0,0,2,3,8,9,10,17,49,0,0,0,0,4.081632653,6.12244898,16.32653061,18.36734694,20.40816327,34.69387755,
21/06/20,0,0,2,2,1,3,8,7,9,16,48,0,0,4.166666667,4.166666667,2.083333333,6.25,16.66666667,14.58333333,18.75,33.33333333,
28/06/20,0,0,0,1,1,2,7,2,11,10,34,0,0,0,2.941176471,2.941176471,5.882352941,20.58823529,5.882352941,32.35294118,29.41176471,
05/07/20,0,0,0,3,2,2,1,4,6,6,24,0,0,0,12.5,8.333333333,8.333333333,4.166666667,16.66666667,25,25,
12/07/20,0,0,1,1,0,2,5,2,3,2,16,0,0,6.25,6.25,0,12.5,31.25,12.5,18.75,12.5,
19/07/20,0,0,0,0,2,1,2,1,4,6,16,0,0,0,0,12.5,6.25,12.5,6.25,25,37.5,
26/07/20,0,0,0,0,2,6,3,5,5,6,27,0,0,0,0,7.407407407,22.22222222,11.11111111,18.51851852,18.51851852,22.22222222,
02/08/20,0,0,0,1,3,3,5,5,7,5,29,0,0,0,3.448275862,10.34482759,10.34482759,17.24137931,17.24137931,24.13793103,17.24137931,
09/08/20,0,0,0,4,3,0,5,4,8,7,31,0,0,0,12.90322581,9.677419355,0,16.12903226,12.90322581,25.80645161,22.58064516,
16/08/20,1,0,0,1,4,2,6,8,10,6,38,2.631578947,0,0,2.631578947,10.52631579,5.263157895,15.78947368,21.05263158,26.31578947,15.78947368,
23/08/20,0,1,0,4,3,5,10,6,7,5,41,0,2.43902439,0,9.756097561,7.317073171,12.19512195,24.3902439,14.63414634,17.07317073,12.19512195,
30/08/20,1,1,0,3,1,4,16,15,14,8,63,1.587301587,1.587301587,0,4.761904762,1.587301587,6.349206349,25.3968254,23.80952381,22.22222222,12.6984127,
06/09/20,0,0,0,3,2,5,19,15,19,15,78,0,0,0,3.846153846,2.564102564,6.41025641,24.35897436,19.23076923,24.35897436,19.23076923,
13/09/20,0,0,1,1,4,10,20,29,19,14,98,0,0,1.020408163,1.020408163,4.081632653,10.20408163,20.40816327,29.59183673,19.3877551,14.28571429,
20/09/20,0,0,0,1,8,11,19,31,42,18,130,0,0,0,0.769230769,6.153846154,8.461538462,14.61538462,23.84615385,32.30769231,13.84615385,
27/09/20,0,0,0,6,6,7,19,33,32,27,130,0,0,0,4.615384615,4.615384615,5.384615385,14.61538462,25.38461538,24.61538462,20.76923077,
04/10/20,3,0,1,3,9,12,26,46,46,40,186,1.612903226,0,0.537634409,1.612903226,4.838709677,6.451612903,13.97849462,24.7311828,24.7311828,21.50537634,
11/10/20,0,0,2,9,8,19,60,85,90,64,337,0,0,0.59347181,2.670623145,2.37388724,5.637982196,17.8041543,25.22255193,26.70623145,18.99109792,
18/10/20,3,1,2,8,23,42,108,156,189,130,662,0.453172205,0.151057402,0.302114804,1.208459215,3.474320242,6.344410876,16.3141994,23.56495468,28.54984894,19.63746224,
25/10/20,3,2,3,8,22,72,181,290,404,221,1206,0.248756219,0.165837479,0.248756219,0.663349917,1.824212272,5.970149254,15.00829187,24.04643449,33.49917081,18.32504146,
01/11/20,6,0,10,10,42,112,274,436,565,344,1799,0.333518621,0,0.555864369,0.555864369,2.33463035,6.225680934,15.23068371,24.23568649,31.40633685,19.1217343,
08/11/20,2,2,4,17,48,133,368,634,836,487,2531,0.07902015,0.07902015,0.1580403,0.671671276,1.896483603,5.254839984,14.53970763,25.04938759,33.03042276,19.24140656,
15/11/20,4,4,5,15,43,134,400,646,774,479,2504,0.159744409,0.159744409,0.199680511,0.599041534,1.717252396,5.3514377,15.97444089,25.79872204,30.91054313,19.12939297,
22/11/20,5,3,6,12,31,105,354,602,806,512,2436,0.205254516,0.123152709,0.246305419,0.492610837,1.272577997,4.310344828,14.5320197,24.71264368,33.08702791,21.0180624,
29/11/20,2,0,3,15,37,87,239,507,666,408,1964,0.101832994,0,0.152749491,0.763747454,1.883910387,4.429735234,12.16904277,25.81466395,33.91038697,20.77393075,
06/12/20,2,3,1,9,28,70,195,389,501,345,1543,0.129617628,0.194426442,0.064808814,0.583279326,1.814646792,4.53661698,12.63771873,25.21062865,32.46921581,22.35904083,
13/12/20,3,0,7,7,25,46,171,328,462,319,1368,0.219298246,0,0.511695906,0.511695906,1.82748538,3.362573099,12.5,23.97660819,33.77192982,23.31871345,
20/12/20,4,3,1,7,23,46,163,272,411,245,1175,0.340425532,0.255319149,0.085106383,0.595744681,1.957446809,3.914893617,13.87234043,23.14893617,34.9787234,20.85106383,
27/12/20,0,2,2,10,22,53,145,246,390,262,1132,0,0.176678445,0.176678445,0.883392226,1.943462898,4.681978799,12.80918728,21.73144876,34.45229682,23.14487633,
03/01/21,1,1,1,10,21,50,149,292,433,210,1168,0.085616438,0.085616438,0.085616438,0.856164384,1.797945205,4.280821918,12.75684932,25,37.07191781,17.97945205,
10/01/21,2,2,2,8,14,51,147,323,428,281,1258,0.158982512,0.158982512,0.158982512,0.635930048,1.112877583,4.054054054,11.68521463,25.67567568,34.02225755,22.33704293,
17/01/21,1,1,2,1,23,44,145,310,386,238,1151,0.086880973,0.086880973,0.173761946,0.086880973,1.998262381,3.822762815,12.59774109,26.93310165,33.5360556,20.67767159,
24/01/21,2,2,2,5,15,50,136,264,370,225,1071,0.186741363,0.186741363,0.186741363,0.466853408,1.400560224,4.66853408,12.6984127,24.64985994,34.54715219,21.00840336,
31/01/21,4,1,0,1,12,46,123,244,308,202,941,0.425079702,0.106269926,0,0.106269926,1.275239107,4.888416578,13.07120085,25.92986185,32.73113709,21.46652497,
07/02/21,3,1,0,6,23,62,129,243,333,193,993,0.302114804,0.100704935,0,0.604229607,2.316213494,6.243705942,12.99093656,24.47129909,33.5347432,19.43605237,
14/02/21,1,0,3,3,12,61,137,231,307,177,932,0.107296137,0,0.321888412,0.321888412,1.287553648,6.545064378,14.69957082,24.78540773,32.93991416,18.99141631,
21/02/21,1,0,1,10,18,83,168,276,325,176,1058,0.094517958,0,0.094517958,0.945179584,1.701323251,7.844990548,15.87901701,26.08695652,30.71833648,16.63516068,
28/02/21,1,1,3,7,28,94,219,352,437,178,1320,0.075757576,0.075757576,0.227272727,0.53030303,2.121212121,7.121212121,16.59090909,26.66666667,33.10606061,13.48484848,
07/03/21,2,0,2,20,46,117,284,467,573,242,1753,0.114090131,0,0.114090131,1.140901312,2.624073018,6.674272675,16.20079863,26.64004564,32.68682259,13.80490588,
14/03/21,1,2,4,12,54,137,323,581,618,261,1993,0.050175615,0.100351229,0.200702459,0.602107376,2.709483191,6.874059207,16.20672353,29.15203211,31.00852985,13.09583542,
21/03/21,0,0,5,13,49,139,391,567,692,274,2130,0,0,0.234741784,0.610328638,2.300469484,6.525821596,18.35680751,26.61971831,32.48826291,12.86384977,
28/03/21,0,1,1,8,41,128,355,602,638,276,2050,0,0.048780488,0.048780488,0.390243902,2,6.243902439,17.31707317,29.36585366,31.12195122,13.46341463,
04/04/21,1,0,3,8,38,114,303,519,596,195,1777,0.05627462,0,0.16882386,0.450196961,2.138435566,6.415306697,17.0512099,29.20652786,33.53967361,10.97355093,
11/04/21,0,0,2,4,27,103,233,382,430,98,1279,0,0,0.156372166,0.312744332,2.111024238,8.053166536,18.21735731,29.86708366,33.62001564,7.662236122,
18/04/21,0,1,2,6,27,45,169,296,356,80,982,0,0.101832994,0.203665988,0.610997963,2.749490835,4.582484725,17.20977597,30.14256619,36.25254582,8.146639511,
25/04/21,1,0,1,8,25,65,145,245,311,56,857,0.116686114,0,0.116686114,0.933488915,2.917152859,7.584597433,16.91948658,28.58809802,36.28938156,6.534422404,
02/05/21,0,1,4,8,13,44,123,266,266,52,777,0,0.128700129,0.514800515,1.02960103,1.673101673,5.662805663,15.83011583,34.23423423,34.23423423,6.692406692,
09/05/21,0,0,1,5,16,47,121,185,227,40,642,0,0,0.15576324,0.778816199,2.492211838,7.320872274,18.84735202,28.81619938,35.35825545,6.230529595,
16/05/21,1,1,0,3,16,30,87,132,123,26,419,0.238663484,0.238663484,0,0.715990453,3.818615752,7.159904535,20.76372315,31.50357995,29.35560859,6.205250597,
23/05/21,0,0,0,3,13,19,53,112,99,20,319,0,0,0,0.940438871,4.07523511,5.956112853,16.61442006,35.10971787,31.03448276,6.269592476,
30/05/21,1,1,0,2,6,18,41,61,57,13,200,0.5,0.5,0,1,3,9,20.5,30.5,28.5,6.5,
06/06/21,0,0,2,2,6,13,26,38,42,20,149,0,0,1.342281879,1.342281879,4.026845638,8.724832215,17.44966443,25.5033557,28.18791946,13.42281879,
13/06/21,1,0,3,6,4,10,27,20,19,12,102,0.980392157,0,2.941176471,5.882352941,3.921568627,9.803921569,26.47058824,19.60784314,18.62745098,11.76470588,
20/06/21,1,1,0,0,2,4,15,19,12,8,62,1.612903226,1.612903226,0,0,3.225806452,6.451612903,24.19354839,30.64516129,19.35483871,12.90322581,
27/06/21,0,0,0,0,2,7,16,16,14,8,63,0,0,0,0,3.174603175,11.11111111,25.3968254,25.3968254,22.22222222,12.6984127,
04/07/21,0,0,1,0,0,0,9,6,9,2,27,0,0,3.703703704,0,0,0,33.33333333,22.22222222,33.33333333,7.407407407,
11/07/21,0,0,0,1,1,4,10,11,13,6,46,0,0,0,2.173913043,2.173913043,8.695652174,21.73913043,23.91304348,28.26086957,13.04347826,
18/07/21,1,1,0,2,7,7,13,12,10,6,59,1.694915254,1.694915254,0,3.389830508,11.86440678,11.86440678,22.03389831,20.33898305,16.94915254,10.16949153,
25/07/21,1,0,1,1,8,11,16,18,13,10,79,1.265822785,0,1.265822785,1.265822785,10.12658228,13.92405063,20.25316456,22.78481013,16.4556962,12.65822785,
01/08/21,0,0,1,3,12,16,26,23,33,8,122,0,0,0.819672131,2.459016393,9.836065574,13.1147541,21.31147541,18.85245902,27.04918033,6.557377049,
08/08/21,0,1,0,3,10,15,33,31,29,19,141,0,0.709219858,0,2.127659574,7.092198582,10.63829787,23.40425532,21.9858156,20.56737589,13.4751773,
15/08/21,0,0,2,5,13,19,57,58,44,17,215,0,0,0.930232558,2.325581395,6.046511628,8.837209302,26.51162791,26.97674419,20.46511628,7.906976744,
22/08/21,1,0,0,4,17,24,72,68,51,28,265,0.377358491,0,0,1.509433962,6.41509434,9.056603774,27.16981132,25.66037736,19.24528302,10.56603774,
29/08/21,0,0,0,3,8,28,59,75,58,22,253,0,0,0,1.185770751,3.162055336,11.06719368,23.3201581,29.64426877,22.92490119,8.695652174,
05/09/21,1,0,0,6,23,30,47,73,63,20,263,0.380228137,0,0,2.281368821,8.745247148,11.40684411,17.87072243,27.75665399,23.95437262,7.604562738,
12/09/21,0,0,3,4,8,37,43,64,56,16,231,0,0,1.298701299,1.731601732,3.463203463,16.01731602,18.61471861,27.70562771,24.24242424,6.926406926,
19/09/21,1,0,0,5,11,21,41,54,44,28,205,0.487804878,0,0,2.43902439,5.365853659,10.24390244,20,26.34146341,21.46341463,13.65853659,
26/09/21,0,0,1,5,5,16,45,52,46,13,183,0,0,0.546448087,2.732240437,2.732240437,8.743169399,24.59016393,28.41530055,25.13661202,7.103825137,
03/10/21,0,0,0,2,5,20,29,40,32,20,148,0,0,0,1.351351351,3.378378378,13.51351351,19.59459459,27.02702703,21.62162162,13.51351351,
10/10/21,1,0,0,0,10,13,19,37,29,14,123,0.81300813,0,0,0,8.130081301,10.56910569,15.44715447,30.08130081,23.57723577,11.38211382,
17/10/21,1,0,2,3,4,5,20,28,28,15,106,0.943396226,0,1.886792453,2.830188679,3.773584906,4.716981132,18.86792453,26.41509434,26.41509434,14.1509434,
24/10/21,0,0,0,1,3,4,19,35,45,16,123,0,0,0,0.81300813,2.43902439,3.25203252,15.44715447,28.45528455,36.58536585,13.00813008,
