Data,aggiornamento,Filter,Incidenza,Ricoveri,TI,Decessi
11/09/21,09/11/21,Italia,60.1,6.95,9.20,7.1
12/09/21,09/11/21,Italia,59,6.94,9.40,6.8
13/09/21,09/11/21,Italia,58.1,7.09,9.50,6.5
14/09/21,09/11/21,Italia,56.9,7.03,9.30,6.6
15/09/21,09/11/21,Italia,55,6.97,9.10,6.6
16/09/21,09/11/21,Italia,54.4,6.78,9.00,6.8
17/09/21,09/11/21,Italia,52.6,6.73,8.90,6.8
18/09/21,09/11/21,Italia,51.5,6.68,8.80,6.7
19/09/21,09/11/21,Italia,50.1,6.63,8.90,6.6
20/09/21,09/11/21,Italia,49.5,6.72,8.80,6.7
21/09/21,09/11/21,Italia,48.4,6.64,8.70,6.6
22/09/21,09/11/21,Italia,46.9,6.41,8.70,6.5
23/09/21,09/11/21,Italia,45.1,6.16,8.50,6.5
24/09/21,09/11/21,Italia,43.9,6,8.30,6.2
25/09/21,09/11/21,Italia,42.1,5.9,8.10,6.2
26/09/21,09/11/21,Italia,40.8,5.8,8.20,6.5
27/09/21,09/11/21,Italia,39.7,5.88,8.20,6.5
28/09/21,09/11/21,Italia,39.1,5.77,7.70,6.5
29/09/21,09/11/21,Italia,37.8,5.6,7.60,6.4
30/09/21,09/11/21,Italia,37.4,5.4,7.40,6.2
01/10/21,09/11/21,Italia,36.7,5.26,7.20,6.2
02/10/21,09/11/21,Italia,36.4,5.16,7.30,5.8
03/10/21,09/11/21,Italia,36.2,5.05,7.30,5.6
04/10/21,09/11/21,Italia,35.9,5.12,7.40,5.5
05/10/21,09/11/21,Italia,35,5.01,7.30,5.2
06/10/21,09/11/21,Italia,35.1,4.85,7.00,4.8
07/10/21,09/11/21,Italia,33.6,4.77,6.80,4.7
08/10/21,09/11/21,Italia,33,4.63,6.50,4.3
09/10/21,09/11/21,Italia,32,4.54,6.20,4.7
10/10/21,09/11/21,Italia,30.9,4.47,6.10,4.6
11/10/21,09/11/21,Italia,30.7,4.54,6.30,4.5
12/10/21,09/11/21,Italia,30.7,4.5,6.20,4.5
13/10/21,09/11/21,Italia,30,4.31,6.20,4.5
14/10/21,09/11/21,Italia,29.5,4.18,6.10,4.4
15/10/21,09/11/21,Italia,29,4.13,6.00,4.6
16/10/21,09/11/21,Italia,29.4,4,5.90,4.1
17/10/21,09/11/21,Italia,29.7,4.03,5.90,4.1
18/10/21,09/11/21,Italia,29.8,4.1,6.00,4.2
19/10/21,09/11/21,Italia,30.2,4.09,6.00,4.6
20/10/21,09/11/21,Italia,31.7,4.16,6.00,4.5
21/10/21,09/11/21,Italia,33.6,4.12,6.00,4.4
22/10/21,09/11/21,Italia,35.6,4.12,5.80,4.4
23/10/21,09/11/21,Italia,37.1,4.14,5.70,4.8
24/10/21,09/11/21,Italia,39.3,4.17,5.80,4.8
25/10/21,09/11/21,Italia,40.9,4.35,5.70,4.6
26/10/21,09/11/21,Italia,43.2,4.39,5.80,4.2
27/10/21,09/11/21,Italia,44.7,4.41,5.80,4.5
28/10/21,09/11/21,Italia,46.5,4.4,5.90,4.7
29/10/21,09/11/21,Italia,49,4.49,5.90,4.6
30/10/21,09/11/21,Italia,50.6,4.57,5.80,4.6
31/10/21,09/11/21,Italia,51.9,4.65,5.80,4.6
01/11/21,09/11/21,Italia,52.4,4.83,6.10,4.5
02/11/21,09/11/21,Italia,50.4,5.05,6.50,4.3
03/11/21,09/11/21,Italia,51.4,5.11,6.40,4.6
04/11/21,09/11/21,Italia,53.1,5.14,6.50,4.7
05/11/21,09/11/21,Italia,55.6,5.27,6.70,5
