Data,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,oltre 90,SERIE,,,
12/03/20,1.3,2.1,8,11.5,16.7,25.3,31.6,47,57.3,47.2,,,,
16/03/20,1.2,1.2,7.4,12.6,16.8,23.7,27.4,38.2,47.5,45.9,,,,
23/03/20,4.1,3.5,20.1,34.3,48.9,69,80,103.2,127.7,142.4,,,,
26/03/20,2.3,2.2,9.3,15.1,22.9,33.5,37.6,47.8,65.7,74.5,,,,
30/03/20,3.4,4.5,17.4,22.2,32.6,44.7,42.7,55.1,87.4,127.2,,,,
02/04/20,2.2,2.9,11.4,13.8,18.5,24.2,22.7,29.7,56.3,96.1,,,,
06/04/20,2.9,5.1,19.2,22.9,29.1,35.9,31.6,40.6,87.2,162.9,,,,
09/04/20,2.3,3.7,11.9,14.7,17.8,21.9,17.9,22.3,60.1,142.3,,,,
16/04/20,3.8,6.5,22.5,25.4,31.8,36.6,30.8,46.5,138.2,364.1,,,,
23/04/20,3.8,6,20.1,21.4,25.7,28.1,22.3,31.8,104.2,308.4,,,,
28/04/20,3.6,6.4,23.2,26.2,33,36.6,29.3,42.7,129.2,350.5,,,,
07/05/20,3.5,7,17.9,19,22.1,25.6,18.5,24.6,75.7,219.8,,,,
14/05/20,2.9,4.3,11.7,12.3,12.8,15.3,10.5,12.5,36,108.1,,,,
20/05/20,1.7,2.9,8.3,8.3,9,10.7,6.4,8.2,20.8,55.5,,,,
26/05/20,1.5,2.3,5.5,6,6.3,6.7,5.6,5.3,12.3,37,,,,
03/06/20,1.4,2.3,5.2,5.2,5.8,6.4,5.5,5.6,10.1,28.8,,,,
09/06/20,0.8,1.4,2.9,3.1,3.1,3,2.6,3.3,5,9.6,,,,
16/06/20,1.6,1.6,4.1,3.9,4,4,4,4.1,5.8,12.9,,,,
23/06/20,1.2,1.8,3.1,3.1,3,2.4,2.6,3.1,3.9,8.6,,,,
30/06/20,0.7,1,2.5,2,1.3,1.2,1.1,0.5,1.3,-1.2,,,,
07/07/20,1.2,1.7,3.5,3.1,2.7,2,1.7,1.9,3,3.6,,,,
14/07/20,2.2,1.9,3.8,3.7,2.7,2,1.8,1.9,2.5,6.4,,,,
21/07/20,1.7,1.9,3.8,4,2.6,2,1.4,1.4,2.3,2.3,,,,
28/07/20,2.2,2.4,4.6,4.4,3.2,2.4,2,2.1,2.5,4,,,,
04/08/20,2.4,2.9,6.7,4.6,3.5,2.7,1.8,1.9,2.1,4.3,,,,
11/08/20,2.9,7.9,9.2,6.1,4.2,3.1,2.5,1.9,2,4.8,,,,
18/08/20,3.3,10.8,14,6.6,4.4,4,2.8,2.3,2.8,4.7,,,,
25/08/20,4.2,14.6,34.4,13.7,7.5,7.2,4,2.9,3.9,5.5,,,,
01/09/20,6.3,19.2,44.9,20.6,11.6,11.5,7,5.2,6.1,11.2,,,,
08/09/20,9.5,16.1,35.2,23,17.3,15.5,10.2,7.7,6.7,9.1,,,,
15/09/20,11.9,16,32,23.3,18,17.5,12.3,9.4,9.4,13.4,,,,
22/09/20,13.1,16.6,27.8,24.2,19.1,17.5,13.8,9.8,10.2,12.8,,,,
29/09/20,16.1,19.6,31,24.5,20.7,20.9,16,11.9,12,17.9,,,,
06/10/20,22.9,32.4,42.7,35,28.8,28.3,21.8,17.8,19.5,32.3,,,,
13/10/20,40.9,67.5,78.1,64,54.6,52.6,38.4,31.1,38.5,56.8,,,,
20/10/20,65.3,143.1,149.4,125,109.2,106.2,78.8,60.3,71.9,113.6,,,,
27/10/20,108.7,259.2,288.8,237.7,215.8,213.3,152.7,122.7,152,235.2,,,,
07/11/20,255.6,587.3,694.5,594.2,588.4,588.4,421.4,342.7,412.7,605.8,,,,
11/11/20,107,209.4,284.2,260.7,261.2,272.5,199.4,170,208.7,309.9,,,,
18/11/20,201,358.1,506.9,466.8,487.4,505.2,385.7,336.1,411.9,655.1,,,,
25/11/20,170.7,296.7,428,416.4,427,442.5,352.2,316.2,408.5,638.9,,,,
02/12/20,149.9,237.6,312.4,307.9,318,327.2,264.4,242.4,328.4,574.9,,,,
09/12/20,123.2,188.3,240.6,235.2,240.4,244.6,202.1,185.6,262.3,458.2,,,,
16/12/20,107.3,159.4,205.4,199.3,205.1,210.7,170.2,162.4,231.8,405.8,,,,
22/12/20,95.9,140.7,187.4,176.8,178.8,178.7,150.8,137.8,174.9,278.8,,,,
29/12/20,87.4,117.1,161.9,159.4,160.3,160.9,134.1,127.2,172.8,308.2,,,,
05/01/21,103.1,159.6,217.1,212.2,200.7,202.1,173.3,157.5,195,297.5,,,,
13/01/21,126.6,211.6,281.2,258.2,244.8,247,210,195.9,250.5,379.2,,,,
20/01/21,108.3,166,199.5,181.8,178.6,182.4,152.9,147,192.5,312.5,,,,
29/01/21,152,183,197.7,194.4,196.9,196.6,165.2,151.4,192.6,309.6,,,,
05/02/21,125.5,148.6,145.2,150.3,149.3,141.8,123,106.3,131.9,174.6,,,,
13/02/21,161.8,201.2,180.9,185.3,189.5,177.5,144.1,131.2,148.3,194.9,,,,
20/02/21,130.1,175.1,157.9,157.8,156.3,145.3,117.1,103.4,105.5,123,,,,
27/02/21,158.3,215.9,207.9,199.8,202.5,184.7,150.6,135.9,136.7,144.3,,,,
06/03/21,205.5,287.9,280,268.4,267.3,251,203.6,174.6,173.8,190.8,,,,
13/03/21,205.4,275.9,281.5,268.1,271.7,259,208.7,182.1,180.3,176.5,,,,
20/03/21,210.4,284.3,290.7,281.1,286.7,282.1,225,202,188.7,199,,,,
