Data,aggiornamento,Filter,Popolazione,Incidenza,Ricoveri,TI,Decessi,Data ospedali,Data decessi,PIncidenza,Pricoveri,PTI,PDecessi,,,,Rapporto ricoveri/incidenza,Rapporto TI/incidenza,Rapporto decessi/incidenza,Delay ospedali,Delay decessi,,,
01/10/20,01/10/21,Andamento,59257566,22,6.62,6.00,4.90,08/10/20,15/10/20,22,6.62,6,4.9,0.301,0.273,0.223,,,,7,14,,,
02/10/20,01/10/21,Andamento,59257566,23,6.9,6.50,5.30,09/10/20,16/10/20,23,6.9,6.5,5.3,0.300,0.283,0.230,,,,7,14,,,
03/10/20,01/10/21,Andamento,59257566,25,7.32,6.60,5.60,10/10/20,17/10/20,25,7.32,6.6,5.6,0.293,0.264,0.224,,,,7,14,,,
04/10/20,01/10/21,Andamento,59257566,26,7.63,7.10,6.40,11/10/20,18/10/20,26,7.63,7.1,6.4,0.293,0.273,0.246,,,,7,14,,,
05/10/20,01/10/21,Andamento,59257566,27,8.14,7.60,6.90,12/10/20,19/10/20,27,8.14,7.6,6.9,0.301,0.281,0.256,,,,7,14,,,
06/10/20,01/10/21,Andamento,59257566,29,8.57,8.70,7.70,13/10/20,20/10/20,29,8.57,8.7,7.7,0.296,0.300,0.266,,,,7,14,,,
07/10/20,01/10/21,Andamento,59257566,32,9.23,9.10,9.20,14/10/20,21/10/20,32,9.23,9.1,9.2,0.288,0.284,0.288,0.296,0.280,0.247,7,14,,,
08/10/20,01/10/21,Andamento,59257566,35,9.78,9.90,10.10,15/10/20,22/10/20,35,9.78,9.9,10.1,0.279,0.283,0.289,0.293,0.281,0.257,7,14,,,
09/10/20,01/10/21,Andamento,59257566,40,10.43,10.80,10.70,16/10/20,23/10/20,40,10.43,10.8,10.7,0.261,0.270,0.268,0.287,0.279,0.262,7,14,,,
10/10/20,01/10/21,Andamento,59257566,45,11.17,11.90,12.40,17/10/20,24/10/20,45,11.17,11.9,12.4,0.248,0.264,0.276,0.281,0.279,0.269,7,14,,,
11/10/20,01/10/21,Andamento,59257566,50,12.03,12.70,13.40,18/10/20,25/10/20,50,12.03,12.7,13.4,0.241,0.254,0.268,0.273,0.277,0.273,7,14,,,
12/10/20,01/10/21,Andamento,59257566,54,12.95,13.40,14.60,19/10/20,26/10/20,54,12.95,13.4,14.6,0.240,0.248,0.270,0.265,0.272,0.275,7,14,,,
13/10/20,01/10/21,Andamento,59257566,59,14.27,14.70,16.80,20/10/20,27/10/20,59,14.27,14.7,16.8,0.242,0.249,0.285,0.257,0.265,0.277,7,14,,,
14/10/20,01/10/21,Andamento,59257566,66,15.28,15.60,18.10,21/10/20,28/10/20,66,15.28,15.6,18.1,0.232,0.236,0.274,0.249,0.258,0.276,7,14,,,
15/10/20,01/10/21,Andamento,59257566,73,16.36,16.70,19.50,22/10/20,29/10/20,73,16.36,16.7,19.5,0.224,0.229,0.267,0.241,0.250,0.273,7,14,,,
16/10/20,01/10/21,Andamento,59257566,81,17.8,17.70,21.30,23/10/20,30/10/20,81,17.8,17.7,21.3,0.220,0.219,0.263,0.235,0.243,0.272,7,14,,,
17/10/20,01/10/21,Andamento,59257566,90,19.05,19.00,23.80,24/10/20,31/10/20,90,19.05,19,23.8,0.212,0.211,0.264,0.230,0.235,0.270,7,14,,,
